Precinct,County,Registered Voters,Cindy Mason (I) (Rep)_Election Day Votes,Cindy Mason (I) (Rep)_Advanced Voting Votes,Cindy Mason (I) (Rep)_Absentee by Mail Votes,Cindy Mason (I) (Rep)_Provisional Votes,Cindy Mason (I) (Rep)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,473,1205,230,0,1908,1908,
Lewis Methodist Church,Columbia,3737,508,1410,440,2,2360,2360,
Woodlawn Baptist Church,Columbia,1290,188,532,160,0,880,880,
Patriots Park,Columbia,4046,448,1704,344,0,2496,2496,
New Life Church,Columbia,4438,489,1485,346,2,2322,2322,
Harlem Branch Library,Columbia,2642,414,990,245,2,1651,1651,
Harlem Senior Center,Columbia,1819,382,593,163,0,1138,1138,
Second Mt Moriah Baptist Church1027,Columbia,180,444,92,1,717,717,,
Bessie Thomas Center,Columbia,799,119,380,71,2,572,572,
Philadelphia Church,Columbia,2355,292,855,206,1,1354,1354,
Liberty Park-Grovetown,Columbia,3410,428,999,275,2,1704,1704,
Grovetown Methodist Church,Columbia,2736,356,604,226,6,1192,1192,
G A Apostolic Church,Columbia,1701,291,510,189,1,991,991,
Grovetown Public Safety Station 23696,Columbia,379,1105,340,1,1825,1825,,
Grove First Baptist Church,Columbia,2954,274,884,238,1,1397,1397,
Eubank-Blanchard Center,Columbia,1576,424,549,104,1,1078,1078,
Second Mt Carmel Baptist Church731,Columbia,153,175,58,0,386,386,,
Damascus Baptist Church,Columbia,1023,378,319,86,1,784,784,
Col Cty Bd of Edu,Columbia,2143,281,845,237,3,1366,1366,
Greenbrier High,Columbia,3369,578,1424,344,1,2347,2347,
Parkway Baptist Church,Columbia,4596,691,1879,431,3,3004,3004,
Riverview Church,Columbia,1320,187,551,159,0,897,897,
Grace Baptist Church,Columbia,3558,488,1353,327,0,2168,2168,
Christ Sanctified,Columbia,2521,415,896,254,1,1566,1566,
Blanchard Park,Columbia,2026,306,584,218,2,1110,1110,
Belair Baptist Church,Columbia,2440,435,764,256,2,1457,1457,
Marvin Methodist,Columbia,1937,410,494,217,0,1121,1121,
Westside Baptist Church,Columbia,1516,336,474,240,0,1050,1050,
Trinity Baptist Church,Columbia,2836,522,922,344,3,1791,1791,
Abilene Baptist,Columbia,2046,374,611,241,0,1226,1226,
Augusta Christian,Columbia,2179,403,656,281,1,1341,1341,
Savannah Rapids Pavilion,Columbia,1549,159,696,360,0,1215,1215,
Gospel Water Branch,Columbia,2096,308,793,276,2,1379,1379,
Genesis Church,Columbia,1830,290,650,269,0,1209,1209,
Stevens Creek Church,Columbia,2760,435,1112,397,1,1945,1945,
Mtz Col Fire Hdqtr,Columbia,1291,267,304,116,1,688,688,
Lakeside Middle,Columbia,1923,337,632,174,1,1144,1144,
Martinez Baptist,Columbia,1962,422,459,188,0,1069,1069,
Gold Cross EMS,Columbia,1889,274,560,350,4,1188,1188,
Church of Our Savior,Columbia,2310,404,623,282,4,1313,1313,
West Acres Baptist,Columbia,2424,365,906,284,1,1556,1556,
Journey Comm Church,Columbia,1268,182,570,182,3,937,937,
Wesley Methodist,Columbia,2434,395,992,263,3,1653,1653,
Col Cty Main Library,Columbia,2106,234,851,216,1,1302,1302,
Christ Church Presbyterian,Columbia,2081,334,854,219,2,1409,1409,
Blue Ridge Elementary,Columbia,2301,371,772,227,1,1371,1371,
Christ The King Luth Church,Columbia,2148,230,884,326,1,1441,1441,
