Precinct,County,Registered Voters,Clay Whittle (I) (Rep)_Election Day Votes,Clay Whittle (I) (Rep)_Advanced Voting Votes,Clay Whittle (I) (Rep)_Absentee by Mail Votes,Clay Whittle (I) (Rep)_Provisional Votes,Clay Whittle (I) (Rep)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,474,1210,228,0,1912,1912,
Lewis Methodist Church,Columbia,3737,511,1406,444,2,2363,2363,
Woodlawn Baptist Church,Columbia,1290,185,536,160,0,881,881,
Patriots Park,Columbia,4046,447,1707,345,0,2499,2499,
New Life Church,Columbia,4438,495,1491,344,2,2332,2332,
Harlem Branch Library,Columbia,2642,418,1001,249,2,1670,1670,
Harlem Senior Center,Columbia,1819,382,597,166,0,1145,1145,
Second Mt Moriah Baptist Church1027,Columbia,183,443,93,1,720,720,,
Bessie Thomas Center,Columbia,799,119,380,75,2,576,576,
Philadelphia Church,Columbia,2355,295,857,210,1,1363,1363,
Liberty Park-Grovetown,Columbia,3410,424,999,279,2,1704,1704,
Grovetown Methodist Church,Columbia,2736,354,610,220,6,1190,1190,
G A Apostolic Church,Columbia,1701,296,523,188,1,1008,1008,
Grovetown Public Safety Station 23696,Columbia,376,1110,338,1,1825,1825,,
Grove First Baptist Church,Columbia,2954,272,888,239,1,1400,1400,
Eubank-Blanchard Center,Columbia,1576,431,556,103,1,1091,1091,
Second Mt Carmel Baptist Church731,Columbia,161,178,56,0,395,395,,
Damascus Baptist Church,Columbia,1023,378,319,84,1,782,782,
Col Cty Bd of Edu,Columbia,2143,288,849,239,3,1379,1379,
Greenbrier High,Columbia,3369,578,1439,351,1,2369,2369,
Parkway Baptist Church,Columbia,4596,691,1887,436,3,3017,3017,
Riverview Church,Columbia,1320,190,547,160,0,897,897,
Grace Baptist Church,Columbia,3558,487,1359,327,0,2173,2173,
Christ Sanctified,Columbia,2521,418,912,256,1,1587,1587,
Blanchard Park,Columbia,2026,306,579,213,2,1100,1100,
Belair Baptist Church,Columbia,2440,435,768,264,2,1469,1469,
Marvin Methodist,Columbia,1937,416,498,216,0,1130,1130,
Westside Baptist Church,Columbia,1516,338,476,252,0,1066,1066,
Trinity Baptist Church,Columbia,2836,519,930,348,3,1800,1800,
Abilene Baptist,Columbia,2046,370,618,246,0,1234,1234,
Augusta Christian,Columbia,2179,405,658,284,1,1348,1348,
Savannah Rapids Pavilion,Columbia,1549,162,696,367,0,1225,1225,
Gospel Water Branch,Columbia,2096,315,802,279,2,1398,1398,
Genesis Church,Columbia,1830,292,655,266,0,1213,1213,
Stevens Creek Church,Columbia,2760,441,1116,403,1,1961,1961,
Mtz Col Fire Hdqtr,Columbia,1291,269,306,121,0,696,696,
Lakeside Middle,Columbia,1923,334,635,170,1,1140,1140,
Martinez Baptist,Columbia,1962,421,459,188,0,1068,1068,
Gold Cross EMS,Columbia,1889,273,564,350,4,1191,1191,
Church of Our Savior,Columbia,2310,411,630,280,4,1325,1325,
West Acres Baptist,Columbia,2424,364,916,290,1,1571,1571,
Journey Comm Church,Columbia,1268,185,579,185,3,952,952,
Wesley Methodist,Columbia,2434,393,993,275,3,1664,1664,
Col Cty Main Library,Columbia,2106,234,850,216,1,1301,1301,
Christ Church Presbyterian,Columbia,2081,337,861,224,2,1424,1424,
Blue Ridge Elementary,Columbia,2301,370,781,226,1,1378,1378,
Christ The King Luth Church,Columbia,2148,227,889,328,1,1445,1445,
