Precinct,County,Registered Voters,Charles Brooks (I) (Dem)_Election Day Votes,Charles Brooks (I) (Dem)_Advanced Voting Votes,Charles Brooks (I) (Dem)_Absentee by Mail Votes,Charles Brooks (I) (Dem)_Provisional Votes,Charles Brooks (I) (Dem)_Choice Total,Total,
Ellenwood 1,Clayton,3020,229,1182,639,5,2055,2055,
Ellenwood 2,Clayton,3273,250,1312,583,4,2149,2149,
Forest Park 1,Clayton,3566,434,523,375,9,1341,1341,
Forest Park 2,Clayton,2821,315,563,379,10,1267,1267,
Forest Park 3,Clayton,2845,271,483,357,18,1129,1129,
Forest Park 4,Clayton,1783,190,392,198,0,780,780,
Forest Park 5,Clayton,3924,424,790,396,18,1628,1628,
Forest Park 6,Clayton,1463,134,350,147,2,633,633,
Jonesboro 1,Clayton,3244,299,966,596,6,1867,1867,
Jonesboro 2,Clayton,4345,388,1277,735,10,2410,2410,
Jonesboro 3,Clayton,4107,298,1257,801,8,2364,2364,
Jonesboro 4,Clayton,2574,229,540,273,5,1047,1047,
Jonesboro 5,Clayton,2064,263,553,322,0,1138,1138,
Jonesboro 6,Clayton,2574,154,671,555,3,1383,1383,
Jonesboro 7,Clayton,3174,293,951,513,6,1763,1763,
Jonesboro 8,Clayton,3947,442,1015,363,3,1823,1823,
Jonesboro 9,Clayton,1759,160,326,193,3,682,682,
Jonesboro 10,Clayton,3398,348,697,421,5,1471,1471,
Jonesboro 11,Clayton,3863,294,1214,731,2,2241,2241,
Jonesboro 12,Clayton,3067,320,851,416,13,1600,1600,
Jonesboro 13,Clayton,2140,248,679,367,4,1298,1298,
Jonesboro 14,Clayton,4116,289,1336,782,4,2411,2411,
Jonesboro 15,Clayton,2872,251,675,253,9,1188,1188,
Jonesboro 16,Clayton,2560,314,552,337,3,1206,1206,
Jonesboro 17,Clayton,3359,313,797,499,9,1618,1618,
Jonesboro 18,Clayton,3301,341,945,436,6,1728,1728,
Jonesboro 19,Clayton,3299,306,895,507,10,1718,1718,
Lake City,Clayton,3217,280,834,381,10,1505,1505,
Lovejoy 1,Clayton,4061,333,1404,627,2,2366,2366,
Lovejoy 2,Clayton,3611,256,1121,473,8,1858,1858,
Lovejoy 3,Clayton,1666,125,635,370,2,1132,1132,
Lovejoy 4,Clayton,4149,297,1575,626,4,2502,2502,
Lovejoy 5,Clayton,3451,309,1032,493,15,1849,1849,
Lovejoy 6,Clayton,3708,290,1259,608,7,2164,2164,
Lovejoy 7,Clayton,2779,252,819,218,5,1294,1294,
Morrow 1,Clayton,3328,420,761,368,2,1551,1551,
Morrow 2,Clayton,2081,141,525,278,3,947,947,
Morrow 3,Clayton,2407,189,617,375,5,1186,1186,
Morrow 4,Clayton,2112,206,505,274,3,988,988,
Morrow 5,Clayton,3056,284,1088,572,2,1946,1946,
Morrow 6,Clayton,3030,319,945,443,5,1712,1712,
Morrow 7,Clayton,2142,277,460,241,7,985,985,
Morrow 8,Clayton,3185,279,1126,536,10,1951,1951,
Morrow 9,Clayton,1509,134,407,221,1,763,763,
Morrow 10,Clayton,2342,169,821,287,3,1280,1280,
Morrow 11,Clayton,2295,245,682,291,2,1220,1220,
Oak 1,Clayton,2635,330,734,284,3,1351,1351,
Oak 2,Clayton,1974,234,421,221,10,886,886,
Oak 3,Clayton,2731,316,676,373,5,1370,1370,
Oak 4,Clayton,4233,448,1126,472,6,2052,2052,
Oak 5,Clayton,1795,184,394,85,5,668,668,
Panhandle 1,Clayton,2895,249,1066,590,2,1907,1907,
Panhandle 2,Clayton,3382,304,1233,513,4,2054,2054,
Riverdale 1,Clayton,2330,178,843,429,8,1458,1458,
Riverdale 2,Clayton,3431,322,914,539,24,1799,1799,
Riverdale 3,Clayton,3650,343,1106,600,6,2055,2055,
Riverdale 4,Clayton,4362,436,998,655,9,2098,2098,
Riverdale 5,Clayton,2970,320,826,428,10,1584,1584,
Riverdale 6,Clayton,3661,368,683,398,9,1458,1458,
Riverdale 7,Clayton,3020,311,549,332,12,1204,1204,
Riverdale 8,Clayton,2895,247,910,605,5,1767,1767,
Riverdale 9,Clayton,2653,282,734,383,6,1405,1405,
Riverdale 10,Clayton,3176,331,679,287,9,1306,1306,
Riverdale 11,Clayton,1881,171,625,307,1,1104,1104,
Riverdale 12,Clayton,3065,309,912,530,2,1753,1753,
