Precinct,County,Registered Voters,Terry L. Baskin (I) (Dem)_Election Day Votes,Terry L. Baskin (I) (Dem)_Advanced Voting Votes,Terry L. Baskin (I) (Dem)_Absentee by Mail Votes,Terry L. Baskin (I) (Dem)_Provisional Votes,Terry L. Baskin (I) (Dem)_Choice Total,Total,
Ellenwood 1,Clayton,3020,231,1186,639,5,2061,2061,
Ellenwood 2,Clayton,3273,255,1328,589,4,2176,2176,
Forest Park 1,Clayton,3566,438,536,392,9,1375,1375,
Forest Park 2,Clayton,2821,331,585,384,10,1310,1310,
Forest Park 3,Clayton,2845,275,505,371,19,1170,1170,
Forest Park 4,Clayton,1783,199,414,207,0,820,820,
Forest Park 5,Clayton,3924,428,795,408,18,1649,1649,
Forest Park 6,Clayton,1463,134,370,156,3,663,663,
Jonesboro 1,Clayton,3244,299,972,608,6,1885,1885,
Jonesboro 2,Clayton,4345,393,1290,750,10,2443,2443,
Jonesboro 3,Clayton,4107,305,1279,815,8,2407,2407,
Jonesboro 4,Clayton,2574,238,554,276,6,1074,1074,
Jonesboro 5,Clayton,2064,270,574,331,0,1175,1175,
Jonesboro 6,Clayton,2574,176,745,593,3,1517,1517,
Jonesboro 7,Clayton,3174,292,975,524,6,1797,1797,
Jonesboro 8,Clayton,3947,441,1027,373,4,1845,1845,
Jonesboro 9,Clayton,1759,162,335,205,4,706,706,
Jonesboro 10,Clayton,3398,353,708,423,5,1489,1489,
Jonesboro 11,Clayton,3863,305,1247,758,3,2313,2313,
Jonesboro 12,Clayton,3067,325,866,426,12,1629,1629,
Jonesboro 13,Clayton,2140,255,688,375,4,1322,1322,
Jonesboro 14,Clayton,4116,302,1387,825,3,2517,2517,
Jonesboro 15,Clayton,2872,251,692,267,9,1219,1219,
Jonesboro 16,Clayton,2560,320,562,340,3,1225,1225,
Jonesboro 17,Clayton,3359,319,804,511,10,1644,1644,
Jonesboro 18,Clayton,3301,344,961,445,6,1756,1756,
Jonesboro 19,Clayton,3299,310,909,511,11,1741,1741,
Lake City,Clayton,3217,285,852,384,10,1531,1531,
Lovejoy 1,Clayton,4061,340,1431,636,2,2409,2409,
Lovejoy 2,Clayton,3611,260,1152,488,8,1908,1908,
Lovejoy 3,Clayton,1666,128,647,381,2,1158,1158,
Lovejoy 4,Clayton,4149,302,1599,641,4,2546,2546,
Lovejoy 5,Clayton,3451,315,1046,503,15,1879,1879,
Lovejoy 6,Clayton,3708,290,1275,617,7,2189,2189,
Lovejoy 7,Clayton,2779,256,833,225,6,1320,1320,
Morrow 1,Clayton,3328,421,777,374,2,1574,1574,
Morrow 2,Clayton,2081,151,557,287,2,997,997,
Morrow 3,Clayton,2407,194,636,370,5,1205,1205,
Morrow 4,Clayton,2112,211,517,284,3,1015,1015,
Morrow 5,Clayton,3056,285,1106,587,2,1980,1980,
Morrow 6,Clayton,3030,325,963,450,5,1743,1743,
Morrow 7,Clayton,2142,274,473,255,6,1008,1008,
Morrow 8,Clayton,3185,283,1132,539,10,1964,1964,
Morrow 9,Clayton,1509,137,419,225,1,782,782,
Morrow 10,Clayton,2342,175,836,293,3,1307,1307,
Morrow 11,Clayton,2295,251,681,292,2,1226,1226,
Oak 1,Clayton,2635,336,741,282,3,1362,1362,
Oak 2,Clayton,1974,235,425,221,10,891,891,
Oak 3,Clayton,2731,318,678,378,5,1379,1379,
Oak 4,Clayton,4233,447,1130,482,7,2066,2066,
Oak 5,Clayton,1795,184,395,84,5,668,668,
Panhandle 1,Clayton,2895,254,1083,585,2,1924,1924,
Panhandle 2,Clayton,3382,315,1262,524,3,2104,2104,
Riverdale 1,Clayton,2330,182,852,439,9,1482,1482,
Riverdale 2,Clayton,3431,323,925,548,25,1821,1821,
Riverdale 3,Clayton,3650,351,1116,608,7,2082,2082,
Riverdale 4,Clayton,4362,445,1010,656,9,2120,2120,
Riverdale 5,Clayton,2970,324,829,437,10,1600,1600,
Riverdale 6,Clayton,3661,374,692,408,9,1483,1483,
Riverdale 7,Clayton,3020,316,557,340,12,1225,1225,
Riverdale 8,Clayton,2895,251,930,623,5,1809,1809,
Riverdale 9,Clayton,2653,288,745,396,6,1435,1435,
Riverdale 10,Clayton,3176,334,686,290,9,1319,1319,
Riverdale 11,Clayton,1881,174,631,313,1,1119,1119,
Riverdale 12,Clayton,3065,313,923,533,2,1771,1771,
