Precinct,County,Registered Voters,Yasmin Neal (Dem)_Election Day Votes,Yasmin Neal (Dem)_Advanced Voting Votes,Yasmin Neal (Dem)_Absentee by Mail Votes,Yasmin Neal (Dem)_Provisional Votes,Yasmin Neal (Dem)_Choice Total,Total,
Forest Park 3,Clayton,2845,278,490,376,18,1162,1162,
Forest Park 4,Clayton,1783,194,399,199,0,792,792,
Forest Park 5,Clayton,3924,435,798,402,10,1645,1645,
Forest Park 6,Clayton,1463,131,359,152,3,645,645,
Lake City,Clayton,3217,161,415,126,2,704,704,
Morrow 2,Clayton,2081,144,533,276,2,955,955,
Oak 3,Clayton,2731,328,683,384,4,1399,1399,
Oak 4,Clayton,4233,454,1133,496,5,2088,2088,
Oak 5,Clayton,1795,180,403,86,6,675,675,
Riverdale 1,Clayton,2330,182,846,434,6,1468,1468,
Riverdale 3,Clayton,3650,347,1119,613,4,2083,2083,
Riverdale 8,Clayton,2895,257,918,617,5,1797,1797,
Riverdale 10,Clayton,3176,339,687,299,8,1333,1333,
Riverdale 11,Clayton,1881,174,626,318,1,1119,1119,
