Precinct,County,Registered Voters,Jeffrey E. Turner (I) (Dem)_Election Day Votes,Jeffrey E. Turner (I) (Dem)_Advanced Voting Votes,Jeffrey E. Turner (I) (Dem)_Absentee by Mail Votes,Jeffrey E. Turner (I) (Dem)_Provisional Votes,Jeffrey E. Turner (I) (Dem)_Choice Total,Total,
Ellenwood 1,Clayton,3020,228,1179,643,5,2055,2055,
Ellenwood 2,Clayton,3273,252,1317,582,4,2155,2155,
Forest Park 1,Clayton,3566,427,526,381,9,1343,1343,
Forest Park 2,Clayton,2821,321,578,383,10,1292,1292,
Forest Park 3,Clayton,2845,276,496,362,19,1153,1153,
Forest Park 4,Clayton,1783,189,403,203,0,795,795,
Forest Park 5,Clayton,3924,426,782,399,18,1625,1625,
Forest Park 6,Clayton,1463,132,358,151,2,643,643,
Jonesboro 1,Clayton,3244,298,969,599,6,1872,1872,
Jonesboro 2,Clayton,4345,391,1282,742,10,2425,2425,
Jonesboro 3,Clayton,4107,305,1272,798,8,2383,2383,
Jonesboro 4,Clayton,2574,234,551,278,5,1068,1068,
Jonesboro 5,Clayton,2064,265,571,327,0,1163,1163,
Jonesboro 6,Clayton,2574,159,717,584,3,1463,1463,
Jonesboro 7,Clayton,3174,296,959,515,6,1776,1776,
Jonesboro 8,Clayton,3947,439,1012,365,4,1820,1820,
Jonesboro 9,Clayton,1759,158,332,199,3,692,692,
Jonesboro 10,Clayton,3398,349,709,420,5,1483,1483,
Jonesboro 11,Clayton,3863,294,1219,747,3,2263,2263,
Jonesboro 12,Clayton,3067,324,861,418,13,1616,1616,
Jonesboro 13,Clayton,2140,249,682,377,4,1312,1312,
Jonesboro 14,Clayton,4116,293,1353,804,4,2454,2454,
Jonesboro 15,Clayton,2872,253,683,264,9,1209,1209,
Jonesboro 16,Clayton,2560,315,563,336,4,1218,1218,
Jonesboro 17,Clayton,3359,313,799,499,10,1621,1621,
Jonesboro 18,Clayton,3301,339,951,439,6,1735,1735,
Jonesboro 19,Clayton,3299,307,901,505,11,1724,1724,
Lake City,Clayton,3217,280,841,380,10,1511,1511,
Lovejoy 1,Clayton,4061,337,1419,628,2,2386,2386,
Lovejoy 2,Clayton,3611,259,1135,483,9,1886,1886,
Lovejoy 3,Clayton,1666,127,632,375,3,1137,1137,
Lovejoy 4,Clayton,4149,295,1583,625,4,2507,2507,
Lovejoy 5,Clayton,3451,314,1028,493,15,1850,1850,
Lovejoy 6,Clayton,3708,288,1265,601,7,2161,2161,
Lovejoy 7,Clayton,2779,252,825,223,5,1305,1305,
Morrow 1,Clayton,3328,418,778,375,2,1573,1573,
Morrow 2,Clayton,2081,147,538,280,3,968,968,
Morrow 3,Clayton,2407,193,623,371,5,1192,1192,
Morrow 4,Clayton,2112,212,509,281,3,1005,1005,
Morrow 5,Clayton,3056,282,1092,588,2,1964,1964,
Morrow 6,Clayton,3030,321,957,447,5,1730,1730,
Morrow 7,Clayton,2142,278,464,248,7,997,997,
Morrow 8,Clayton,3185,279,1120,545,10,1954,1954,
Morrow 9,Clayton,1509,135,413,228,1,777,777,
Morrow 10,Clayton,2342,172,842,290,3,1307,1307,
Morrow 11,Clayton,2295,247,681,291,2,1221,1221,
Oak 1,Clayton,2635,333,733,282,3,1351,1351,
Oak 2,Clayton,1974,236,424,218,9,887,887,
Oak 3,Clayton,2731,317,676,373,5,1371,1371,
Oak 4,Clayton,4233,445,1127,482,7,2061,2061,
Oak 5,Clayton,1795,185,396,84,5,670,670,
Panhandle 1,Clayton,2895,250,1071,583,2,1906,1906,
Panhandle 2,Clayton,3382,308,1229,515,5,2057,2057,
Riverdale 1,Clayton,2330,178,846,431,9,1464,1464,
Riverdale 2,Clayton,3431,323,917,536,25,1801,1801,
Riverdale 3,Clayton,3650,343,1109,606,7,2065,2065,
Riverdale 4,Clayton,4362,442,1007,659,9,2117,2117,
Riverdale 5,Clayton,2970,321,828,435,9,1593,1593,
Riverdale 6,Clayton,3661,372,685,398,9,1464,1464,
Riverdale 7,Clayton,3020,313,551,334,12,1210,1210,
Riverdale 8,Clayton,2895,247,917,616,5,1785,1785,
Riverdale 9,Clayton,2653,281,738,391,7,1417,1417,
Riverdale 10,Clayton,3176,333,679,289,9,1310,1310,
Riverdale 11,Clayton,1881,174,626,313,1,1114,1114,
Riverdale 12,Clayton,3065,309,914,531,2,1756,1756,
