Precinct,County,Registered Voters,Jacquline D. Wills (I) (Dem)_Election Day Votes,Jacquline D. Wills (I) (Dem)_Advanced Voting Votes,Jacquline D. Wills (I) (Dem)_Absentee by Mail Votes,Jacquline D. Wills (I) (Dem)_Provisional Votes,Jacquline D. Wills (I) (Dem)_Choice Total,Total,
Ellenwood 1,Clayton,3020,235,1184,645,5,2069,2069,
Ellenwood 2,Clayton,3273,256,1327,591,3,2177,2177,
Forest Park 1,Clayton,3566,429,528,391,8,1356,1356,
Forest Park 2,Clayton,2821,326,575,386,10,1297,1297,
Forest Park 3,Clayton,2845,278,491,366,17,1152,1152,
Forest Park 4,Clayton,1783,198,402,201,0,801,801,
Forest Park 5,Clayton,3924,439,789,399,18,1645,1645,
Forest Park 6,Clayton,1463,130,367,153,3,653,653,
Jonesboro 1,Clayton,3244,298,973,604,6,1881,1881,
Jonesboro 2,Clayton,4345,390,1284,747,9,2430,2430,
Jonesboro 3,Clayton,4107,302,1273,808,8,2391,2391,
Jonesboro 4,Clayton,2574,230,547,274,5,1056,1056,
Jonesboro 5,Clayton,2064,268,569,324,0,1161,1161,
Jonesboro 6,Clayton,2574,165,697,569,3,1434,1434,
Jonesboro 7,Clayton,3174,294,960,516,6,1776,1776,
Jonesboro 8,Clayton,3947,443,1033,371,4,1851,1851,
Jonesboro 9,Clayton,1759,163,335,199,3,700,700,
Jonesboro 10,Clayton,3398,353,705,418,5,1481,1481,
Jonesboro 11,Clayton,3863,301,1220,763,3,2287,2287,
Jonesboro 12,Clayton,3067,326,860,424,14,1624,1624,
Jonesboro 13,Clayton,2140,256,691,376,4,1327,1327,
Jonesboro 14,Clayton,4116,299,1353,803,4,2459,2459,
Jonesboro 15,Clayton,2872,254,691,264,9,1218,1218,
Jonesboro 16,Clayton,2560,317,559,342,3,1221,1221,
Jonesboro 17,Clayton,3359,315,801,506,8,1630,1630,
Jonesboro 18,Clayton,3301,339,954,441,6,1740,1740,
Jonesboro 19,Clayton,3299,304,912,516,11,1743,1743,
Lake City,Clayton,3217,282,842,379,10,1513,1513,
Lovejoy 1,Clayton,4061,345,1423,634,2,2404,2404,
Lovejoy 2,Clayton,3611,260,1141,484,8,1893,1893,
Lovejoy 3,Clayton,1666,127,635,380,3,1145,1145,
Lovejoy 4,Clayton,4149,303,1595,632,4,2534,2534,
Lovejoy 5,Clayton,3451,316,1048,498,15,1877,1877,
Lovejoy 6,Clayton,3708,293,1276,609,7,2185,2185,
Lovejoy 7,Clayton,2779,253,827,223,6,1309,1309,
Morrow 1,Clayton,3328,416,767,371,2,1556,1556,
Morrow 2,Clayton,2081,139,535,278,3,955,955,
Morrow 3,Clayton,2407,193,632,381,5,1211,1211,
Morrow 4,Clayton,2112,216,510,280,3,1009,1009,
Morrow 5,Clayton,3056,287,1101,584,2,1974,1974,
Morrow 6,Clayton,3030,321,959,449,5,1734,1734,
Morrow 7,Clayton,2142,282,472,250,6,1010,1010,
Morrow 8,Clayton,3185,282,1134,546,10,1972,1972,
Morrow 9,Clayton,1509,133,417,224,1,775,775,
Morrow 10,Clayton,2342,176,836,288,3,1303,1303,
Morrow 11,Clayton,2295,247,685,290,2,1224,1224,
Oak 1,Clayton,2635,335,742,283,3,1363,1363,
Oak 2,Clayton,1974,243,423,217,9,892,892,
Oak 3,Clayton,2731,323,685,381,5,1394,1394,
Oak 4,Clayton,4233,453,1134,481,7,2075,2075,
Oak 5,Clayton,1795,182,398,85,5,670,670,
Panhandle 1,Clayton,2895,251,1083,593,2,1929,1929,
Panhandle 2,Clayton,3382,314,1243,516,4,2077,2077,
Riverdale 1,Clayton,2330,182,850,434,8,1474,1474,
Riverdale 2,Clayton,3431,325,920,548,27,1820,1820,
Riverdale 3,Clayton,3650,345,1112,617,7,2081,2081,
Riverdale 4,Clayton,4362,448,995,662,10,2115,2115,
Riverdale 5,Clayton,2970,324,836,441,10,1611,1611,
Riverdale 6,Clayton,3661,373,691,403,9,1476,1476,
Riverdale 7,Clayton,3020,319,548,336,14,1217,1217,
Riverdale 8,Clayton,2895,255,920,613,5,1793,1793,
Riverdale 9,Clayton,2653,287,745,386,7,1425,1425,
Riverdale 10,Clayton,3176,333,684,293,8,1318,1318,
Riverdale 11,Clayton,1881,175,626,317,1,1119,1119,
Riverdale 12,Clayton,3065,316,922,534,2,1774,1774,
