Precinct,County,Registered Voters,Pamela P. Ferguson (I) (Dem)_Election Day Votes,Pamela P. Ferguson (I) (Dem)_Advanced Voting Votes,Pamela P. Ferguson (I) (Dem)_Absentee by Mail Votes,Pamela P. Ferguson (I) (Dem)_Provisional Votes,Pamela P. Ferguson (I) (Dem)_Choice Total,Total,
Ellenwood 1,Clayton,3020,233,1181,640,4,2058,2058,
Ellenwood 2,Clayton,3273,252,1322,585,4,2163,2163,
Forest Park 1,Clayton,3566,430,531,380,9,1350,1350,
Forest Park 2,Clayton,2821,325,572,388,11,1296,1296,
Forest Park 3,Clayton,2845,280,492,367,20,1159,1159,
Forest Park 4,Clayton,1783,196,403,212,0,811,811,
Forest Park 5,Clayton,3924,432,796,395,17,1640,1640,
Forest Park 6,Clayton,1463,129,366,153,3,651,651,
Jonesboro 1,Clayton,3244,301,973,598,6,1878,1878,
Jonesboro 2,Clayton,4345,392,1282,742,9,2425,2425,
Jonesboro 3,Clayton,4107,306,1269,805,7,2387,2387,
Jonesboro 4,Clayton,2574,236,547,276,5,1064,1064,
Jonesboro 5,Clayton,2064,265,571,332,0,1168,1168,
Jonesboro 6,Clayton,2574,165,711,575,3,1454,1454,
Jonesboro 7,Clayton,3174,289,958,526,6,1779,1779,
Jonesboro 8,Clayton,3947,443,1032,369,4,1848,1848,
Jonesboro 9,Clayton,1759,165,336,198,4,703,703,
Jonesboro 10,Clayton,3398,355,702,425,5,1487,1487,
Jonesboro 11,Clayton,3863,295,1228,761,3,2287,2287,
Jonesboro 12,Clayton,3067,324,859,413,13,1609,1609,
Jonesboro 13,Clayton,2140,260,685,373,4,1322,1322,
Jonesboro 14,Clayton,4116,298,1358,811,3,2470,2470,
Jonesboro 15,Clayton,2872,257,689,259,8,1213,1213,
Jonesboro 16,Clayton,2560,317,561,341,3,1222,1222,
Jonesboro 17,Clayton,3359,316,804,509,9,1638,1638,
Jonesboro 18,Clayton,3301,341,949,439,6,1735,1735,
Jonesboro 19,Clayton,3299,305,907,506,11,1729,1729,
Lake City,Clayton,3217,280,843,385,9,1517,1517,
Lovejoy 1,Clayton,4061,344,1425,631,2,2402,2402,
Lovejoy 2,Clayton,3611,260,1142,484,8,1894,1894,
Lovejoy 3,Clayton,1666,126,634,376,3,1139,1139,
Lovejoy 4,Clayton,4149,304,1593,642,4,2543,2543,
Lovejoy 5,Clayton,3451,315,1047,501,13,1876,1876,
Lovejoy 6,Clayton,3708,293,1277,610,7,2187,2187,
Lovejoy 7,Clayton,2779,253,821,220,6,1300,1300,
Morrow 1,Clayton,3328,418,765,377,2,1562,1562,
Morrow 2,Clayton,2081,142,536,286,2,966,966,
Morrow 3,Clayton,2407,191,622,376,5,1194,1194,
Morrow 4,Clayton,2112,216,512,279,3,1010,1010,
Morrow 5,Clayton,3056,288,1106,579,2,1975,1975,
Morrow 6,Clayton,3030,326,961,443,6,1736,1736,
Morrow 7,Clayton,2142,279,476,244,7,1006,1006,
Morrow 8,Clayton,3185,282,1129,535,10,1956,1956,
Morrow 9,Clayton,1509,135,418,218,1,772,772,
Morrow 10,Clayton,2342,175,833,290,3,1301,1301,
Morrow 11,Clayton,2295,247,682,289,2,1220,1220,
Oak 1,Clayton,2635,334,741,281,3,1359,1359,
Oak 2,Clayton,1974,245,426,220,10,901,901,
Oak 3,Clayton,2731,326,683,372,5,1386,1386,
Oak 4,Clayton,4233,452,1137,475,8,2072,2072,
Oak 5,Clayton,1795,182,397,83,4,666,666,
Panhandle 1,Clayton,2895,252,1076,588,2,1918,1918,
Panhandle 2,Clayton,3382,314,1250,515,5,2084,2084,
Riverdale 1,Clayton,2330,180,847,435,9,1471,1471,
Riverdale 2,Clayton,3431,324,923,550,27,1824,1824,
Riverdale 3,Clayton,3650,348,1109,614,7,2078,2078,
Riverdale 4,Clayton,4362,451,1000,655,8,2114,2114,
Riverdale 5,Clayton,2970,323,828,436,9,1596,1596,
Riverdale 6,Clayton,3661,373,683,406,10,1472,1472,
Riverdale 7,Clayton,3020,322,548,341,13,1224,1224,
Riverdale 8,Clayton,2895,256,925,618,4,1803,1803,
Riverdale 9,Clayton,2653,285,738,392,7,1422,1422,
Riverdale 10,Clayton,3176,336,684,286,10,1316,1316,
Riverdale 11,Clayton,1881,173,623,312,1,1109,1109,
Riverdale 12,Clayton,3065,317,916,528,3,1764,1764,
