index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Floyd,Alto Park,3360,321,1137,294,9,1761,88,300,224,1,613,13,37,19,0,69,2443,
1,Floyd,Armuchee,1269,277,389,107,2,775,34,77,38,0,149,6,7,9,0,22,946,
2,Floyd,Barkers,2355,390,930,178,6,1504,41,108,81,0,230,10,17,7,0,34,1768,
3,Floyd,Cave Spring,1617,409,326,125,2,862,67,62,102,2,233,18,9,4,0,31,1126,
4,Floyd,Chulio,1155,274,333,91,9,707,33,49,54,1,137,9,4,5,1,19,863,
5,Floyd,Etowah,4946,579,1914,414,6,2913,100,400,290,3,793,23,26,17,0,66,3772,
6,Floyd,Everett Springs,421,175,72,22,5,274,24,9,20,0,53,2,1,3,0,6,333,
7,Floyd,Floyd Springs,1666,406,585,139,19,1149,30,66,46,4,146,14,9,3,0,26,1321,
8,Floyd,Fosters Mill,971,272,280,62,1,615,20,34,30,0,84,10,5,5,0,20,719,
9,Floyd,Garden Lakes,2261,203,603,185,4,995,86,238,120,2,446,12,20,7,1,40,1481,
10,Floyd,Glenwood,3635,503,1033,242,2,1780,109,247,185,2,543,21,34,20,0,75,2398,
11,Floyd,Howell,1492,425,410,118,1,954,30,60,27,0,117,3,8,3,0,14,1085,
12,Floyd,East Lindale,3398,427,1098,259,2,1786,95,276,170,0,541,23,26,14,0,63,2390,
13,Floyd,Mt Alto North,5096,225,1165,312,5,1707,247,725,398,12,1382,29,46,20,0,95,3184,
14,Floyd,Mt Alto South,3923,294,891,239,5,1429,246,521,297,4,1068,16,30,16,0,62,2559,
15,Floyd,North Carolina,1865,265,551,123,1,940,39,106,59,3,207,11,21,8,0,40,1187,
16,Floyd,Riverside,826,146,205,46,4,401,45,74,29,0,148,5,6,1,0,12,561,
17,Floyd,East Rome,4238,265,805,253,2,1325,182,675,360,2,1219,16,35,16,0,67,2611,
18,Floyd,North Rome,3369,138,653,285,2,1078,159,442,387,5,993,16,29,15,0,60,2131,
19,Floyd,South Rome,1600,46,119,43,1,209,139,262,186,2,589,15,11,11,0,37,835,
20,Floyd,Texas Valley,762,263,217,59,8,547,15,30,31,0,76,4,3,2,0,9,632,
21,Floyd,Vanns Valley,896,139,197,84,2,422,32,52,19,0,103,9,2,2,0,13,538,
22,Floyd,Watters,3566,642,1175,265,6,2088,77,182,116,6,381,26,27,14,0,67,2536,
23,Floyd,West Lindale,2929,460,811,190,0,1461,95,180,128,0,403,23,21,11,0,55,1919,
24,Floyd,Town Rome,3034,174,691,205,0,1070,126,426,272,2,826,16,26,12,0,54,1950,
