index,County,Precinct,Registered Voters,Jay Shell (I) (Rep)_Election Day Votes,Jay Shell (I) (Rep)_Advanced Voting Votes,Jay Shell (I) (Rep)_Absentee by Mail Votes,Jay Shell (I) (Rep)_Provisional Votes,Jay Shell (I) (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,373,1290,395,13,2071,2071,
1,Floyd,Armuchee,1269,295,420,119,2,836,836,
2,Floyd,Barkers,2355,410,997,215,6,1628,1628,
3,Floyd,Cave Spring,1617,458,358,166,2,984,984,
4,Floyd,Chulio,1155,293,363,115,10,781,781,
5,Floyd,Etowah,4946,640,2090,528,7,3265,3265,
6,Floyd,Everett Springs,421,187,72,37,3,299,299,
7,Floyd,Floyd Springs,1666,424,608,154,22,1208,1208,
8,Floyd,Fosters Mill,971,288,288,72,0,648,648,
9,Floyd,Garden Lakes,2261,277,734,242,6,1259,1259,
10,Floyd,Glenwood,3635,577,1179,351,1,2108,2108,
11,Floyd,Howell,1492,428,441,132,1,1002,1002,
12,Floyd,East Lindale,3398,492,1239,350,0,2081,2081,
13,Floyd,North Carolina,1865,283,609,154,3,1049,1049,
14,Floyd,Riverside,826,169,250,55,4,478,478,
15,Floyd,Texas Valley,762,263,229,73,4,569,569,
16,Floyd,Vanns Valley,896,164,222,99,3,488,488,
17,Floyd,Watters,3566,697,1283,326,10,2316,2316,
18,Floyd,West Lindale,2929,530,916,245,0,1691,1691,
