index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Floyd,Alto Park,3360,316,1130,306,9,1761,81,259,214,1,555,16,61,15,0,92,2408,
1,Floyd,Armuchee,1269,270,389,109,1,769,29,72,38,0,139,7,6,5,0,18,926,
2,Floyd,Barkers,2355,372,913,189,6,1480,36,91,74,0,201,21,28,7,0,56,1737,
3,Floyd,Cave Spring,1617,401,324,129,2,856,54,62,95,2,213,20,6,6,0,32,1101,
4,Floyd,Chulio,1155,273,327,96,11,707,28,43,53,0,124,11,6,6,0,23,854,
5,Floyd,Etowah,4946,573,1863,417,7,2860,76,354,272,1,703,30,52,30,2,114,3677,
6,Floyd,Everett Springs,421,169,70,22,4,265,22,7,20,0,49,7,3,2,0,12,326,
7,Floyd,Floyd Springs,1666,404,572,142,23,1141,23,58,36,2,119,12,13,9,0,34,1294,
8,Floyd,Fosters Mill,971,272,276,65,1,614,13,28,30,0,71,12,7,4,0,23,708,
9,Floyd,Garden Lakes,2261,204,600,181,5,990,75,211,119,2,407,18,20,10,0,48,1445,
10,Floyd,Glenwood,3635,483,1027,248,2,1760,96,220,188,2,506,35,42,11,0,88,2354,
11,Floyd,Howell,1492,409,406,122,1,938,24,56,27,0,107,11,7,0,0,18,1063,
12,Floyd,East Lindale,3398,431,1081,276,2,1790,80,263,152,0,495,26,32,11,0,69,2354,
13,Floyd,Mt Alto North,5096,212,1141,311,6,1670,230,687,388,11,1316,48,66,28,0,142,3128,
14,Floyd,Mt Alto South,3923,294,877,253,5,1429,224,501,282,0,1007,27,44,13,0,84,2520,
15,Floyd,North Carolina,1865,260,545,130,1,936,36,95,58,0,189,12,23,5,2,42,1167,
16,Floyd,Riverside,826,142,201,44,4,391,33,62,27,0,122,16,14,3,0,33,546,
17,Floyd,East Rome,4238,260,801,250,2,1313,158,612,350,0,1120,33,70,23,2,128,2561,
18,Floyd,North Rome,3369,138,653,307,1,1099,142,399,361,5,907,22,39,16,0,77,2083,
19,Floyd,South Rome,1600,47,117,41,1,206,129,246,188,2,565,17,14,8,0,39,810,
20,Floyd,Texas Valley,762,257,218,63,7,545,14,25,28,0,67,5,3,2,0,10,622,
21,Floyd,Vanns Valley,896,139,187,85,3,414,32,48,18,0,98,6,7,3,0,16,528,
22,Floyd,Watters,3566,611,1157,273,6,2047,68,164,115,6,353,52,39,17,0,108,2508,
23,Floyd,West Lindale,2929,456,800,199,0,1455,74,171,122,0,367,29,25,8,0,62,1884,
24,Floyd,Town Rome,3034,169,695,204,0,1068,113,380,248,2,743,23,39,17,0,79,1890,
