index,County,Precinct,Registered Voters,Kevin Payne (I) (Rep)_Election Day Votes,Kevin Payne (I) (Rep)_Advanced Voting Votes,Kevin Payne (I) (Rep)_Absentee by Mail Votes,Kevin Payne (I) (Rep)_Provisional Votes,Kevin Payne (I) (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,387,1316,406,11,2120,2120,
1,Floyd,Armuchee,1269,299,431,122,2,854,854,
2,Floyd,Barkers,2355,420,1005,231,6,1662,1662,
3,Floyd,Cave Spring,1617,460,371,176,2,1009,1009,
4,Floyd,Chulio,1155,299,365,115,10,789,789,
5,Floyd,Etowah,4946,648,2145,561,9,3363,3363,
6,Floyd,Everett Springs,421,186,76,39,4,305,305,
7,Floyd,Floyd Springs,1666,433,612,155,23,1223,1223,
8,Floyd,Fosters Mill,971,298,292,79,0,669,669,
9,Floyd,Garden Lakes,2261,276,746,251,6,1279,1279,
10,Floyd,Glenwood,3635,578,1194,362,1,2135,2135,
11,Floyd,Howell,1492,438,444,138,1,1021,1021,
12,Floyd,East Lindale,3398,502,1261,360,2,2125,2125,
13,Floyd,Mt Alto North,5096,425,1638,541,9,2613,2613,
14,Floyd,Mt Alto South,3923,446,1218,401,5,2070,2070,
15,Floyd,North Carolina,1865,295,621,156,4,1076,1076,
16,Floyd,Riverside,826,172,252,64,4,492,492,
17,Floyd,East Rome,4238,386,1204,444,4,2038,2038,
18,Floyd,North Rome,3369,244,921,496,7,1668,1668,
19,Floyd,South Rome,1600,124,282,143,3,552,552,
20,Floyd,Texas Valley,762,273,231,78,5,587,587,
21,Floyd,Vanns Valley,896,168,229,100,1,498,498,
22,Floyd,Watters,3566,711,1302,338,7,2358,2358,
23,Floyd,West Lindale,2929,537,942,261,0,1740,1740,
24,Floyd,Town Rome,3034,268,937,359,2,1566,1566,
