index,County,Precinct,Registered Voters,Danny Waits (Rep)_Election Day Votes,Danny Waits (Rep)_Advanced Voting Votes,Danny Waits (Rep)_Absentee by Mail Votes,Danny Waits (Rep)_Provisional Votes,Danny Waits (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,377,1288,389,10,2064,2064,
1,Floyd,Armuchee,1269,296,420,121,2,839,839,
2,Floyd,Barkers,2355,413,991,214,6,1624,1624,
3,Floyd,Cave Spring,1617,456,362,168,2,988,988,
4,Floyd,Chulio,1155,290,359,114,10,773,773,
5,Floyd,Etowah,4946,641,2082,531,8,3262,3262,
6,Floyd,Everett Springs,421,186,74,37,3,300,300,
7,Floyd,Floyd Springs,1666,418,605,154,22,1199,1199,
8,Floyd,Fosters Mill,971,289,284,75,0,648,648,
9,Floyd,Garden Lakes,2261,277,739,239,6,1261,1261,
10,Floyd,Glenwood,3635,578,1170,346,1,2095,2095,
11,Floyd,Howell,1492,434,438,132,1,1005,1005,
12,Floyd,East Lindale,3398,493,1240,346,0,2079,2079,
13,Floyd,North Carolina,1865,288,609,156,3,1056,1056,
14,Floyd,Riverside,826,169,247,57,3,476,476,
15,Floyd,Texas Valley,762,262,227,72,4,565,565,
16,Floyd,Vanns Valley,896,162,224,100,2,488,488,
17,Floyd,Watters,3566,701,1281,325,10,2317,2317,
18,Floyd,West Lindale,2929,530,922,245,0,1697,1697,
