index,County,Precinct,Registered Voters,Leigh E. Patterson (I) (Rep)_Election Day Votes,Leigh E. Patterson (I) (Rep)_Advanced Voting Votes,Leigh E. Patterson (I) (Rep)_Absentee by Mail Votes,Leigh E. Patterson (I) (Rep)_Provisional Votes,Leigh E. Patterson (I) (Rep)_Choice Total,Total,
0,Floyd,Alto Park,3360,380,1266,406,9,2061,2061,
1,Floyd,Armuchee,1269,288,417,125,2,832,832,
2,Floyd,Barkers,2355,417,986,218,6,1627,1627,
3,Floyd,Cave Spring,1617,457,358,170,2,987,987,
4,Floyd,Chulio,1155,294,357,117,11,779,779,
5,Floyd,Etowah,4946,628,2075,529,8,3240,3240,
6,Floyd,Everett Springs,421,181,77,39,3,300,300,
7,Floyd,Floyd Springs,1666,414,606,162,23,1205,1205,
8,Floyd,Fosters Mill,971,288,287,76,0,651,651,
9,Floyd,Garden Lakes,2261,268,729,249,6,1252,1252,
10,Floyd,Glenwood,3635,564,1163,366,1,2094,2094,
11,Floyd,Howell,1492,419,438,137,1,995,995,
12,Floyd,East Lindale,3398,490,1219,352,2,2063,2063,
13,Floyd,Mt Alto North,5096,413,1586,510,11,2520,2520,
14,Floyd,Mt Alto South,3923,435,1178,400,5,2018,2018,
15,Floyd,North Carolina,1865,293,620,157,4,1074,1074,
16,Floyd,Riverside,826,168,244,63,4,479,479,
17,Floyd,East Rome,4238,368,1148,435,4,1955,1955,
18,Floyd,North Rome,3369,232,877,471,7,1587,1587,
19,Floyd,South Rome,1600,116,267,139,3,525,525,
20,Floyd,Texas Valley,762,264,228,76,6,574,574,
21,Floyd,Vanns Valley,896,159,222,97,3,481,481,
22,Floyd,Watters,3566,702,1282,322,10,2316,2316,
23,Floyd,West Lindale,2929,519,916,250,0,1685,1685,
24,Floyd,Town Rome,3034,251,890,346,2,1489,1489,
