index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Floyd,Alto Park,3360,327,1137,290,10,1764,95,326,253,5,679,5,15,11,0,31,2474,
1,Floyd,Armuchee,1269,283,398,108,2,791,34,75,46,0,155,3,2,1,0,6,952,
2,Floyd,Barkers,2355,393,948,196,6,1543,38,102,83,0,223,5,9,1,0,15,1781,
3,Floyd,Cave Spring,1617,423,332,126,2,883,63,65,112,2,242,11,2,2,0,15,1140,
4,Floyd,Chulio,1155,277,338,95,11,721,36,44,60,0,140,3,3,1,0,7,868,
5,Floyd,Etowah,4946,599,1925,433,7,2964,89,408,295,3,795,9,14,14,0,37,3796,
6,Floyd,Everett Springs,421,175,74,26,5,280,26,9,20,0,55,2,0,0,0,2,337,
7,Floyd,Floyd Springs,1666,408,582,143,21,1154,28,73,45,4,150,12,3,3,0,18,1322,
8,Floyd,Fosters Mill,971,278,284,68,1,631,16,35,32,0,83,10,0,0,0,10,724,
9,Floyd,Garden Lakes,2261,215,622,188,4,1029,84,237,126,3,450,2,6,4,0,12,1491,
10,Floyd,Glenwood,3635,522,1045,254,2,1823,104,255,201,2,562,11,19,5,0,35,2420,
11,Floyd,Howell,1492,427,420,123,1,971,27,62,31,0,120,4,1,1,0,6,1097,
12,Floyd,East Lindale,3398,437,1098,266,0,1801,90,292,181,2,565,19,14,5,0,38,2404,
13,Floyd,Mt Alto North,5096,234,1157,307,6,1704,259,762,443,12,1476,16,30,5,0,51,3231,
14,Floyd,Mt Alto South,3923,298,876,246,6,1426,247,553,314,4,1118,10,20,4,0,34,2578,
15,Floyd,North Carolina,1865,274,568,133,2,977,40,110,64,2,216,3,4,1,0,8,1201,
16,Floyd,Riverside,826,148,208,45,4,405,43,74,29,0,146,3,6,1,0,10,561,
17,Floyd,East Rome,4238,267,785,249,2,1303,181,705,394,2,1282,14,21,13,0,48,2633,
18,Floyd,North Rome,3369,145,654,287,2,1088,157,462,413,5,1037,12,6,3,0,21,2146,
19,Floyd,South Rome,1600,45,118,40,1,204,152,272,210,4,638,5,4,3,0,12,854,
20,Floyd,Texas Valley,762,258,216,59,8,541,22,31,34,0,87,4,2,0,0,6,634,
21,Floyd,Vanns Valley,896,149,198,86,3,436,31,53,23,0,107,1,3,1,0,5,548,
22,Floyd,Watters,3566,654,1198,280,6,2138,79,182,130,6,397,15,6,5,0,26,2561,
23,Floyd,West Lindale,2929,491,821,199,0,1511,82,183,137,0,402,9,11,6,0,26,1939,
24,Floyd,Town Rome,3034,170,676,189,0,1035,131,450,300,2,883,11,19,8,0,38,1956,
