Precinct,County,Registered Voters,Janice S. Bryant (I) (Dem)_Election Day Votes,Janice S. Bryant (I) (Dem)_Advanced Voting Votes,Janice S. Bryant (I) (Dem)_Absentee by Mail Votes,Janice S. Bryant (I) (Dem)_Provisional Votes,Janice S. Bryant (I) (Dem)_Choice Total,Total,
Dawson,Terrell,3043,361,808,550,0,1719,1719,
Sasser,Terrell,1355,210,421,139,0,770,770,
Bronwood,Terrell,885,146,217,134,0,497,497,
Parrott,Terrell,412,136,83,47,0,266,266,
Graves,Terrell,598,117,162,93,0,372,372,
Herod-Dover,Terrell,301,74,64,43,0,181,181,
