Precinct,County,Registered Voters,Larron D. Copeland (Ind)_Election Day Votes,Larron D. Copeland (Ind)_Advanced Voting Votes,Larron D. Copeland (Ind)_Absentee by Mail Votes,Larron D. Copeland (Ind)_Provisional Votes,Larron D. Copeland (Ind)_Choice Total,Robert Lamar Wills (Ind)_Election Day Votes,Robert Lamar Wills (Ind)_Advanced Voting Votes,Robert Lamar Wills (Ind)_Absentee by Mail Votes,Robert Lamar Wills (Ind)_Provisional Votes,Robert Lamar Wills (Ind)_Choice Total,Total,
Dawson,Terrell,3043,1,0,1,0,2,0,0,6,0,6,8,
Sasser,Terrell,1355,13,48,11,0,72,7,14,4,0,25,97,
Bronwood,Terrell,885,123,169,93,0,385,50,65,40,0,155,540,
Parrott,Terrell,412,117,68,26,0,211,29,20,13,0,62,273,
Graves,Terrell,598,63,90,34,0,187,25,30,30,0,85,272,
