Precinct,County,Registered Voters,Paige Dasher Mulligan (Rep)_Election Day Votes,Paige Dasher Mulligan (Rep)_Advanced Voting Votes,Paige Dasher Mulligan (Rep)_Absentee by Mail Votes,Paige Dasher Mulligan (Rep)_Provisional Votes,Paige Dasher Mulligan (Rep)_Choice Total,Total,
Cobbtown,Tattnall,761,227,172,85,0,484,484,
Shiloh,Tattnall,1111,110,287,70,0,467,467,
Collins,Tattnall,1482,200,532,118,0,850,850,
Manassas,Tattnall,265,77,67,13,0,157,157,
District II,Tattnall,2500,243,887,166,0,1296,1296,
East Glennville,Tattnall,2506,335,956,282,0,1573,1573,
District IV,Tattnall,2497,326,884,218,0,1428,1428,
District V,Tattnall,1062,214,349,77,0,640,640,
