Precinct,County,Registered Voters,Ricky Jarriel (Rep)_Election Day Votes,Ricky Jarriel (Rep)_Advanced Voting Votes,Ricky Jarriel (Rep)_Absentee by Mail Votes,Ricky Jarriel (Rep)_Provisional Votes,Ricky Jarriel (Rep)_Choice Total,Total,
Cobbtown,Tattnall,761,236,172,81,0,489,489,
Collins,Tattnall,1482,203,546,123,0,872,872,
Manassas,Tattnall,265,83,67,13,0,163,163,
