Precinct,County,Registered Voters,Laura F. Adams (I) (Rep)_Election Day Votes,Laura F. Adams (I) (Rep)_Advanced Voting Votes,Laura F. Adams (I) (Rep)_Absentee by Mail Votes,Laura F. Adams (I) (Rep)_Provisional Votes,Laura F. Adams (I) (Rep)_Choice Total,Total,
Cobbtown,Tattnall,761,229,171,84,0,484,484,
Shiloh,Tattnall,1111,111,293,68,0,472,472,
Collins,Tattnall,1482,203,548,125,0,876,876,
Manassas,Tattnall,265,77,67,13,0,157,157,
District II,Tattnall,2500,247,896,170,0,1313,1313,
East Glennville,Tattnall,2506,329,945,285,0,1559,1559,
District IV,Tattnall,2497,327,883,225,0,1435,1435,
District V,Tattnall,1062,210,348,81,0,639,639,
