Precinct,County,Registered Voters,Kyle Sapp (I) (Rep)_Election Day Votes,Kyle Sapp (I) (Rep)_Advanced Voting Votes,Kyle Sapp (I) (Rep)_Absentee by Mail Votes,Kyle Sapp (I) (Rep)_Provisional Votes,Kyle Sapp (I) (Rep)_Choice Total,Total,
Cobbtown,Tattnall,761,237,176,88,0,501,501,
Shiloh,Tattnall,1111,111,303,71,0,485,485,
Collins,Tattnall,1482,205,568,138,0,911,911,
Manassas,Tattnall,265,84,72,14,0,170,170,
District II,Tattnall,2500,254,925,182,0,1361,1361,
East Glennville,Tattnall,2506,331,968,294,0,1593,1593,
District IV,Tattnall,2497,337,906,230,0,1473,1473,
District V,Tattnall,1062,212,355,81,0,648,648,
