Precinct,County,Registered Voters,"James D. Rainey, Jr. (I) (Rep)_Election Day Votes","James D. Rainey, Jr. (I) (Rep)_Advanced Voting Votes","James D. Rainey, Jr. (I) (Rep)_Absentee by Mail Votes","James D. Rainey, Jr. (I) (Rep)_Provisional Votes","James D. Rainey, Jr. (I) (Rep)_Choice Total",Total,
Arabi,Crisp,785,183,279,59,0,521,521,
Coney,Crisp,859,138,436,109,0,683,683,
Cordele,Crisp,8897,617,2637,950,3,4207,4207,
Jamestown,Crisp,1196,221,523,159,1,904,904,
Listonia,Crisp,817,191,307,87,0,585,585,
