Precinct,County,Registered Voters,Randy T. Ellis_Election Day Votes,Randy T. Ellis_Advanced Voting Votes,Randy T. Ellis_Absentee by Mail Votes,Randy T. Ellis_Provisional Votes,Randy T. Ellis_Choice Total,Total,
Arabi,Crisp,785,176,278,58,0,512,512,
Coney,Crisp,859,132,428,105,0,665,665,
Cordele,Crisp,8897,610,2610,917,4,4141,4141,
Jamestown,Crisp,1196,215,504,157,1,877,877,
Listonia,Crisp,817,188,299,83,0,570,570,
