Precinct,County,Registered Voters,Jay Crowe (Rep)_Election Day Votes,Jay Crowe (Rep)_Advanced Voting Votes,Jay Crowe (Rep)_Absentee by Mail Votes,Jay Crowe (Rep)_Provisional Votes,Jay Crowe (Rep)_Choice Total,Total,
Sylvester,Worth,3006,259,650,253,0,1162,1162,
Scooterville,Worth,603,195,150,35,0,380,380,
Minton,Worth,543,187,157,39,0,383,383,
Bridgeboro,Worth,1286,315,343,88,0,746,746,
County Line,Worth,887,184,201,67,0,452,452,
Isabella,Worth,1424,275,517,117,0,909,909,
Piney Woods,Worth,336,53,77,27,0,157,157,
Sylvester East,Worth,1406,192,500,126,0,818,818,
Poulan,Worth,887,240,227,63,0,530,530,
Sumner,Worth,871,229,208,65,0,502,502,
Shingler,Worth,554,189,161,42,0,392,392,
Red Rock,Worth,1287,298,256,84,0,638,638,
Doles,Worth,449,153,100,34,0,287,287,
Oakfield,Worth,229,58,48,18,0,124,124,
Warwick,Worth,701,210,125,79,0,414,414,
