Precinct,County,Registered Voters,Don Whitaker (I) (Rep)_Election Day Votes,Don Whitaker (I) (Rep)_Advanced Voting Votes,Don Whitaker (I) (Rep)_Absentee by Mail Votes,Don Whitaker (I) (Rep)_Provisional Votes,Don Whitaker (I) (Rep)_Choice Total,Total,
Sylvester,Worth,3006,257,677,269,0,1203,1203,
Scooterville,Worth,603,202,151,38,0,391,391,
Minton,Worth,543,192,161,41,0,394,394,
Bridgeboro,Worth,1286,319,345,89,0,753,753,
County Line,Worth,887,185,205,69,0,459,459,
Isabella,Worth,1424,280,532,122,0,934,934,
Piney Woods,Worth,336,55,82,28,0,165,165,
Sylvester East,Worth,1406,197,526,130,0,853,853,
Poulan,Worth,887,248,232,63,0,543,543,
Sumner,Worth,871,232,212,67,0,511,511,
Shingler,Worth,554,187,162,42,0,391,391,
Red Rock,Worth,1287,303,266,85,0,654,654,
Doles,Worth,449,153,103,37,0,293,293,
Oakfield,Worth,229,60,48,19,0,127,127,
Warwick,Worth,701,216,128,78,0,422,422,
