Precinct,County,Registered Voters,Scott Carver (Rep)_Election Day Votes,Scott Carver (Rep)_Advanced Voting Votes,Scott Carver (Rep)_Absentee by Mail Votes,Scott Carver (Rep)_Provisional Votes,Scott Carver (Rep)_Choice Total,Joey Whitley (I) (Ind)_Election Day Votes,Joey Whitley (I) (Ind)_Advanced Voting Votes,Joey Whitley (I) (Ind)_Absentee by Mail Votes,Joey Whitley (I) (Ind)_Provisional Votes,Joey Whitley (I) (Ind)_Choice Total,Total,
Irwinville,Irwin,1796,266,564,121,0,951,58,190,56,0,304,1255,
Ocilla,Irwin,3642,220,938,126,3,1287,178,565,212,2,957,2244,
Holt,Irwin,675,94,210,41,0,345,43,91,38,0,172,517,
