Precinct,County,Registered Voters,Kristian Ellis (Dem)_Election Day Votes,Kristian Ellis (Dem)_Advanced Voting Votes,Kristian Ellis (Dem)_Absentee by Mail Votes,Kristian Ellis (Dem)_Provisional Votes,Kristian Ellis (Dem)_Choice Total,Total,
Chalybeate,Meriwether,451,131,74,46,0,251,251,
Gill I,Meriwether,1662,361,365,231,1,958,958,
Gill II,Meriwether,1000,168,207,212,0,587,587,
Odessadale,Meriwether,296,55,69,59,1,184,184,
Greenville,Meriwether,2009,177,624,263,0,1064,1064,
Lone Oak,Meriwether,1263,196,331,210,0,737,737,
Luthersville,Meriwether,2760,430,717,325,0,1472,1472,
Alvaton,Meriwether,1528,284,346,202,3,835,835,
Gay,Meriwether,411,76,77,47,0,200,200,
Woodbury,Meriwether,1363,275,320,184,0,779,779,
Warm Springs,Meriwether,1161,218,283,112,1,614,614,
Durand,Meriwether,730,148,156,84,0,388,388,
Raleigh,Meriwether,501,100,132,47,0,279,279,
Cove,Meriwether,202,74,23,26,0,123,123,
