Precinct,County,Registered Voters,Kyemeshia “Kye” T. Gibson (I) (Ind)_Election Day Votes,Kyemeshia “Kye” T. Gibson (I) (Ind)_Advanced Voting Votes,Kyemeshia “Kye” T. Gibson (I) (Ind)_Absentee by Mail Votes,Kyemeshia “Kye” T. Gibson (I) (Ind)_Provisional Votes,Kyemeshia “Kye” T. Gibson (I) (Ind)_Choice Total,Total,
Chalybeate,Meriwether,451,159,97,50,0,306,306,
Gill I,Meriwether,1662,362,399,237,1,999,999,
Gill II,Meriwether,1000,129,179,160,0,468,468,
Odessadale,Meriwether,296,51,84,56,1,192,192,
Greenville,Meriwether,2009,161,593,236,0,990,990,
Lone Oak,Meriwether,1263,197,326,168,0,691,691,
Luthersville,Meriwether,2760,455,730,277,0,1462,1462,
Alvaton,Meriwether,1528,299,380,183,3,865,865,
Gay,Meriwether,411,87,92,50,0,229,229,
Woodbury,Meriwether,1363,238,317,172,0,727,727,
Warm Springs,Meriwether,1161,220,305,122,1,648,648,
Durand,Meriwether,730,163,157,72,0,392,392,
Raleigh,Meriwether,501,111,149,52,0,312,312,
Cove,Meriwether,202,82,22,34,0,138,138,
