Precinct,County,Registered Voters,Leon Coverson (I) (Dem)_Election Day Votes,Leon Coverson (I) (Dem)_Advanced Voting Votes,Leon Coverson (I) (Dem)_Absentee by Mail Votes,Leon Coverson (I) (Dem)_Provisional Votes,Leon Coverson (I) (Dem)_Choice Total,Total,
Odessadale,Meriwether,296,56,72,58,1,187,187,
Greenville,Meriwether,2009,127,396,187,0,710,710,
Lone Oak,Meriwether,1263,130,234,140,0,504,504,
Luthersville,Meriwether,2760,36,86,47,0,169,169,
Durand,Meriwether,730,92,110,66,0,268,268,
