Precinct,County,Registered Voters,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_Choice Total",Total,
Dry Branch,Twiggs,1550,217,246,116,0,579,579,
Golden Isles,Twiggs,1692,254,374,264,1,893,893,
Higgsville,Twiggs,758,115,159,60,0,334,334,
Jeffersonville/Ware,Twiggs,1464,150,443,245,2,840,840,
Shady Grove/Tarvers,Twiggs,840,119,206,123,0,448,448,
