Precinct,County,Registered Voters,Vickie Oliver Jamerson (I) (Rep)_Election Day Votes,Vickie Oliver Jamerson (I) (Rep)_Advanced Voting Votes,Vickie Oliver Jamerson (I) (Rep)_Absentee by Mail Votes,Vickie Oliver Jamerson (I) (Rep)_Provisional Votes,Vickie Oliver Jamerson (I) (Rep)_Choice Total,Total,
Cataula,Harris,2898,689,948,364,1,2002,2002,
Ellerslie,Harris,4211,914,1427,569,0,2910,2910,
Goodman,Harris,1649,336,414,202,1,953,953,
Hamilton,Harris,2739,523,916,291,4,1734,1734,
Lower 19th,Harris,2570,689,765,329,2,1785,1785,
Mulberry Grove,Harris,2908,609,1086,370,0,2065,2065,
Pine Mountain Valley,Harris,1121,433,228,107,2,770,770,
Skinner,Harris,894,307,133,111,1,552,552,
Upper 19th,Harris,1628,456,539,185,2,1182,1182,
Valley Plains,Harris,785,276,129,94,0,499,499,
Waverly Hall,Harris,2853,601,772,403,2,1778,1778,
Whitesville,Harris,1370,461,325,159,0,945,945,
