Precinct,County,Registered Voters,Mike Jolley (I) (Rep)_Election Day Votes,Mike Jolley (I) (Rep)_Advanced Voting Votes,Mike Jolley (I) (Rep)_Absentee by Mail Votes,Mike Jolley (I) (Rep)_Provisional Votes,Mike Jolley (I) (Rep)_Choice Total,Total,
Cataula,Harris,2898,698,974,369,1,2042,2042,
Ellerslie,Harris,4211,935,1457,586,0,2978,2978,
Goodman,Harris,1649,336,422,198,1,957,957,
Hamilton,Harris,2739,542,947,309,5,1803,1803,
Lower 19th,Harris,2570,697,785,330,2,1814,1814,
Mulberry Grove,Harris,2908,609,1115,376,0,2100,2100,
Pine Mountain Valley,Harris,1121,432,229,104,2,767,767,
Skinner,Harris,894,311,135,110,2,558,558,
Upper 19th,Harris,1628,458,553,189,2,1202,1202,
Valley Plains,Harris,785,300,135,91,0,526,526,
Waverly Hall,Harris,2853,612,802,422,3,1839,1839,
Whitesville,Harris,1370,467,337,160,0,964,964,
