Precinct,County,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total,
Cataula,Harris,2898,425,623,268,1,1317,1317,
Ellerslie,Harris,4211,519,971,509,0,1999,1999,
Goodman,Harris,1649,255,294,176,1,726,726,
Hamilton,Harris,2739,366,669,303,2,1340,1340,
Lower 19th,Harris,2570,396,510,258,1,1165,1165,
Mulberry Grove,Harris,2908,345,663,263,0,1271,1271,
Pine Mountain Valley,Harris,1121,263,154,75,2,494,494,
Skinner,Harris,894,257,88,107,2,454,454,
Upper 19th,Harris,1628,266,290,116,1,673,673,
Valley Plains,Harris,785,211,86,77,0,374,374,
Waverly Hall,Harris,2853,425,517,382,1,1325,1325,
Whitesville,Harris,1370,288,191,141,0,620,620,
