Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Cataula,Harris,2898,495,701,328,0,1524,189,288,98,1,576,2100,
Ellerslie,Harris,4211,662,1097,530,0,2289,256,417,199,0,872,3161,
Goodman,Harris,1649,247,307,199,1,754,115,132,61,0,308,1062,
Hamilton,Harris,2739,396,693,275,4,1368,158,297,103,0,558,1926,
Lower 19th,Harris,2570,492,556,290,2,1340,183,247,102,0,532,1872,
Mulberry Grove,Harris,2908,418,775,308,0,1501,176,341,122,0,639,2140,
Pine Mountain Valley,Harris,1121,315,171,84,3,573,121,63,31,0,215,788,
Skinner,Harris,894,242,94,99,1,436,91,51,49,0,191,627,
Upper 19th,Harris,1628,314,397,149,2,862,129,140,57,0,326,1188,
Valley Plains,Harris,785,191,91,76,0,358,98,46,33,0,177,535,
Waverly Hall,Harris,2853,439,566,366,2,1373,201,265,141,0,607,1980,
Whitesville,Harris,1370,344,243,152,0,739,125,104,41,0,270,1009,
