Precinct,County,Registered Voters,Stacy Koon Haralson (I) (Rep)_Election Day Votes,Stacy Koon Haralson (I) (Rep)_Advanced Voting Votes,Stacy Koon Haralson (I) (Rep)_Absentee by Mail Votes,Stacy Koon Haralson (I) (Rep)_Provisional Votes,Stacy Koon Haralson (I) (Rep)_Choice Total,Total,
Cataula,Harris,2898,684,929,360,1,1974,1974,
Ellerslie,Harris,4211,906,1414,546,0,2866,2866,
Goodman,Harris,1649,333,409,200,1,943,943,
Hamilton,Harris,2739,517,910,286,5,1718,1718,
Lower 19th,Harris,2570,687,765,318,2,1772,1772,
Mulberry Grove,Harris,2908,604,1084,360,0,2048,2048,
Pine Mountain Valley,Harris,1121,438,229,104,2,773,773,
Skinner,Harris,894,305,131,105,2,543,543,
Upper 19th,Harris,1628,456,540,173,2,1171,1171,
Valley Plains,Harris,785,278,129,93,0,500,500,
Waverly Hall,Harris,2853,589,765,392,3,1749,1749,
Whitesville,Harris,1370,451,322,151,0,924,924,
