Precinct,County,Registered Voters,Cortisa Barthell (I) (Dem)_Election Day Votes,Cortisa Barthell (I) (Dem)_Advanced Voting Votes,Cortisa Barthell (I) (Dem)_Absentee by Mail Votes,Cortisa Barthell (I) (Dem)_Provisional Votes,Cortisa Barthell (I) (Dem)_Choice Total,Total,
Agri-Center,Sumter,2059,155,669,243,1,1068,1068,
Airport,Sumter,1767,182,666,252,0,1100,1100,
Andersonville,Sumter,434,134,82,39,1,256,256,
Browns Mill,Sumter,929,113,265,105,0,483,483,
Concord,Sumter,376,84,70,23,3,180,180,
GSW Conf Center,Sumter,3044,236,1018,410,2,1666,1666,
Leslie,Sumter,1687,259,395,177,2,833,833,
Plains,Sumter,1061,206,262,142,1,611,611,
Rec Dept,Sumter,2667,285,801,486,1,1573,1573,
Reese Park,Sumter,3064,285,816,461,0,1562,1562,
Thompson,Sumter,712,109,147,79,1,336,336,
