Precinct,County,Registered Voters,"Clifford Walton, Jr. (Dem)_Election Day Votes","Clifford Walton, Jr. (Dem)_Advanced Voting Votes","Clifford Walton, Jr. (Dem)_Absentee by Mail Votes","Clifford Walton, Jr. (Dem)_Provisional Votes","Clifford Walton, Jr. (Dem)_Choice Total",Total,
Agri-Center,Sumter,2059,153,654,237,1,1045,1045,
Airport,Sumter,1767,169,627,238,0,1034,1034,
Andersonville,Sumter,434,130,74,44,0,248,248,
Browns Mill,Sumter,929,118,251,105,0,474,474,
Concord,Sumter,376,81,70,26,4,181,181,
GSW Conf Center,Sumter,3044,241,1010,398,2,1651,1651,
Leslie,Sumter,1687,269,382,171,2,824,824,
Plains,Sumter,1061,207,243,138,1,589,589,
Rec Dept,Sumter,2667,285,802,483,1,1571,1571,
Reese Park,Sumter,3064,283,821,461,0,1565,1565,
Thompson,Sumter,712,115,142,76,1,334,334,
