Precinct,County,Registered Voters,Vincent L. Kearse_Election Day Votes,Vincent L. Kearse_Advanced Voting Votes,Vincent L. Kearse_Absentee by Mail Votes,Vincent L. Kearse_Provisional Votes,Vincent L. Kearse_Choice Total,Total,
GSW Conf Center,Sumter,3044,49,202,58,1,310,310,
Rec Dept,Sumter,2667,48,154,76,0,278,278,
Reese Park,Sumter,3064,101,227,147,0,475,475,
