Precinct,County,Registered Voters,Richard S. Joslyn (I)_Election Day Votes,Richard S. Joslyn (I)_Advanced Voting Votes,Richard S. Joslyn (I)_Absentee by Mail Votes,Richard S. Joslyn (I)_Provisional Votes,Richard S. Joslyn (I)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,112,265,160,0,537,537,
St Mark,Hancock,576,72,117,58,0,247,247,
Courthouse,Hancock,931,86,204,133,1,424,424,
Second Beulah,Hancock,472,53,97,107,0,257,257,
Mayfield Community Center,Hancock,356,48,36,67,0,151,151,
Power of God,Hancock,731,78,133,99,0,310,310,
Warren Chapel,Hancock,268,25,69,56,0,150,150,
Youth Center,Hancock,975,81,178,163,0,422,422,
Second Darrien,Hancock,364,61,55,91,0,207,207,
Sparta 4C,Hancock,148,16,18,45,0,79,79,
