Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,85,229,85,0,399,74,136,150,1,361,3,6,8,0,17,777,
St Mark,Hancock,576,10,48,9,0,67,85,129,81,0,295,3,2,0,0,5,367,
Courthouse,Hancock,931,26,99,21,0,146,92,196,164,1,453,1,9,4,0,14,613,
Second Beulah,Hancock,472,16,21,9,0,46,55,119,136,0,310,0,1,1,0,2,358,
Mayfield Community Center,Hancock,356,18,14,8,0,40,50,48,80,0,178,0,1,3,0,4,222,
Power of God,Hancock,731,21,54,24,0,99,93,142,130,1,366,5,6,2,0,13,478,
Warren Chapel,Hancock,268,27,69,32,0,128,3,34,49,0,86,0,1,1,0,2,216,
Youth Center,Hancock,975,27,69,28,0,124,96,218,226,0,540,0,6,0,0,6,670,
Second Darrien,Hancock,364,41,29,26,0,96,43,53,92,0,188,2,0,1,0,3,287,
Sparta 4C,Hancock,148,16,7,5,0,28,10,21,50,0,81,0,0,0,0,0,109,
