Precinct,County,Registered Voters,"Helen G. """"Sistie"""" Hudson (I) (Dem)_Election Day Votes","Helen G. """"Sistie"""" Hudson (I) (Dem)_Advanced Voting Votes","Helen G. """"Sistie"""" Hudson (I) (Dem)_Absentee by Mail Votes","Helen G. """"Sistie"""" Hudson (I) (Dem)_Provisional Votes","Helen G. """"Sistie"""" Hudson (I) (Dem)_Choice Total",Total,
Devereux Fire Station,Hancock,1006,114,274,193,0,581,581,
St Mark,Hancock,576,78,143,70,0,291,291,
Courthouse,Hancock,931,94,227,157,1,479,479,
Second Beulah,Hancock,472,56,119,125,0,300,300,
Mayfield Community Center,Hancock,356,63,44,80,0,187,187,
Power of God,Hancock,731,88,147,126,0,361,361,
Warren Chapel,Hancock,268,24,74,65,0,163,163,
Youth Center,Hancock,975,95,222,197,0,514,514,
Second Darrien,Hancock,364,67,63,96,0,226,226,
Sparta 4C,Hancock,148,16,21,53,0,90,90,
