Precinct,County,Registered Voters,Adrick Alexander Ingram (I) (Dem)_Election Day Votes,Adrick Alexander Ingram (I) (Dem)_Advanced Voting Votes,Adrick Alexander Ingram (I) (Dem)_Absentee by Mail Votes,Adrick Alexander Ingram (I) (Dem)_Provisional Votes,Adrick Alexander Ingram (I) (Dem)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,116,263,196,0,575,575,
St Mark,Hancock,576,79,151,76,0,306,306,
Courthouse,Hancock,931,95,230,161,1,487,487,
Second Beulah,Hancock,472,58,123,127,0,308,308,
Mayfield Community Center,Hancock,356,59,49,83,0,191,191,
Power of God,Hancock,731,94,152,126,0,372,372,
Warren Chapel,Hancock,268,23,71,64,0,158,158,
Youth Center,Hancock,975,100,214,201,0,515,515,
Second Darrien,Hancock,364,70,63,111,0,244,244,
Sparta 4C,Hancock,148,18,19,46,0,83,83,
