Precinct,County,Registered Voters,Leshauna R. Jackson (I) (Dem)_Election Day Votes,Leshauna R. Jackson (I) (Dem)_Advanced Voting Votes,Leshauna R. Jackson (I) (Dem)_Absentee by Mail Votes,Leshauna R. Jackson (I) (Dem)_Provisional Votes,Leshauna R. Jackson (I) (Dem)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,111,253,192,0,556,556,
St Mark,Hancock,576,80,147,79,0,306,306,
Courthouse,Hancock,931,99,235,160,1,495,495,
Second Beulah,Hancock,472,58,119,125,0,302,302,
Mayfield Community Center,Hancock,356,60,44,83,0,187,187,
Power of God,Hancock,731,96,154,126,0,376,376,
Warren Chapel,Hancock,268,23,69,61,0,153,153,
Youth Center,Hancock,975,96,220,203,0,519,519,
Second Darrien,Hancock,364,67,59,105,0,231,231,
Sparta 4C,Hancock,148,15,20,51,0,86,86,
