Precinct,County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,86,232,88,0,406,72,132,159,1,364,770,
St Mark,Hancock,576,11,45,9,0,65,80,131,84,0,295,360,
Courthouse,Hancock,931,25,96,24,0,145,90,198,160,1,449,594,
Second Beulah,Hancock,472,12,22,12,0,46,54,117,130,0,301,347,
Mayfield Community Center,Hancock,356,17,14,8,0,39,51,45,85,0,181,220,
Power of God,Hancock,731,14,56,26,0,96,97,136,128,1,362,458,
Warren Chapel,Hancock,268,27,70,35,0,132,2,30,48,0,80,212,
Youth Center,Hancock,975,24,64,27,0,115,92,204,222,0,518,633,
Second Darrien,Hancock,364,40,30,23,0,93,43,48,95,0,186,279,
Sparta 4C,Hancock,148,15,5,5,0,25,10,18,51,0,79,104,
