Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,87,235,86,0,408,74,139,168,1,382,1,0,2,0,3,793,
St Mark,Hancock,576,10,41,9,0,60,88,140,87,0,315,2,0,0,0,2,377,
Courthouse,Hancock,931,23,101,22,0,146,93,204,172,1,470,1,1,3,0,5,621,
Second Beulah,Hancock,472,12,24,12,0,48,60,118,137,0,315,0,0,0,0,0,363,
Mayfield Community Center,Hancock,356,16,13,8,0,37,56,51,90,0,197,0,0,0,0,0,234,
Power of God,Hancock,731,17,57,22,0,96,101,143,136,1,381,1,3,1,0,5,482,
Warren Chapel,Hancock,268,28,70,32,0,130,2,33,53,0,88,0,0,1,0,1,219,
Youth Center,Hancock,975,26,62,27,0,115,99,233,229,0,561,1,0,0,0,1,677,
Second Darrien,Hancock,364,41,31,21,0,93,41,53,98,0,192,2,0,0,0,2,287,
Sparta 4C,Hancock,148,14,7,5,0,26,10,21,53,0,84,2,0,0,0,2,112,
