Precinct,County,Registered Voters,Steve Hill (I) (Dem)_Election Day Votes,Steve Hill (I) (Dem)_Advanced Voting Votes,Steve Hill (I) (Dem)_Absentee by Mail Votes,Steve Hill (I) (Dem)_Provisional Votes,Steve Hill (I) (Dem)_Choice Total,Total,
Courthouse,Hancock,931,98,240,156,1,495,495,
Second Beulah,Hancock,472,59,119,124,0,302,302,
