Precinct,County,Registered Voters,"Terrell """"Ted"""" Reid (I) (Dem)_Election Day Votes","Terrell """"Ted"""" Reid (I) (Dem)_Advanced Voting Votes","Terrell """"Ted"""" Reid (I) (Dem)_Absentee by Mail Votes","Terrell """"Ted"""" Reid (I) (Dem)_Provisional Votes","Terrell """"Ted"""" Reid (I) (Dem)_Choice Total",Total,
Mayfield Community Center,Hancock,356,60,44,81,0,185,185,
Power of God,Hancock,731,89,149,127,0,365,365,
Warren Chapel,Hancock,268,22,70,61,0,153,153,
