index,County,Precinct,Registered Voters,W. Bee Huddleston (I) (Rep)_Election Day Votes,W. Bee Huddleston (I) (Rep)_Advanced Voting Votes,W. Bee Huddleston (I) (Rep)_Absentee by Mail Votes,W. Bee Huddleston (I) (Rep)_Provisional Votes,W. Bee Huddleston (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,162,703,380,8,1253,1253,
1,Fayette,Brooks,2567,556,1041,378,1,1976,1976,
2,Fayette,Europe,3310,165,769,408,9,1351,1351,
3,Fayette,Fayetteville East,2147,155,611,287,4,1057,1057,
4,Fayette,Fayetteville West,2362,177,738,338,0,1253,1253,
5,Fayette,Flint,1732,182,469,204,0,855,855,
6,Fayette,Hopeful,2309,246,635,257,0,1138,1138,
7,Fayette,Morning Creek,3059,195,931,525,1,1652,1652,
8,Fayette,Rareover,3045,179,1510,283,3,1975,1975,
9,Fayette,Sandy Creek,4848,247,1628,465,4,2344,2344,
10,Fayette,Shakerag East,1689,225,606,186,2,1019,1019,
11,Fayette,Shakerag West,1236,63,577,185,1,826,826,
12,Fayette,Starrsmill,3572,444,1278,483,0,2205,2205,
13,Fayette,Whitewater,3564,349,1547,532,8,2436,2436,
14,Fayette,Woolsey,2542,349,1058,434,0,1841,1841,
15,Fayette,McIntosh,3323,233,1409,468,2,2112,2112,
16,Fayette,Oak Grove,1344,155,561,153,1,870,870,
17,Fayette,Kedron,4862,439,1847,608,2,2896,2896,
18,Fayette,Aberdeen,1805,164,762,213,0,1139,1139,
19,Fayette,Windgate,1011,143,417,107,2,669,669,
20,Fayette,Flat Creek,2117,228,703,273,3,1207,1207,
21,Fayette,Braelinn,1876,208,871,259,2,1340,1340,
22,Fayette,Kenwood,1014,101,233,120,0,454,454,
23,Fayette,Banks,1624,197,424,258,0,879,879,
24,Fayette,Harps Crossing,1646,182,614,255,2,1053,1053,
25,Fayette,Willow Pond,3100,288,1051,448,7,1794,1794,
26,Fayette,Dogwood,3092,282,1303,443,3,2031,2031,
27,Fayette,Oak Ridge,2225,207,617,350,3,1177,1177,
28,Fayette,Jeff Davis,2876,152,781,349,5,1287,1287,
29,Fayette,Murphy,3224,221,1114,512,4,1851,1851,
30,Fayette,Fielding Ridge,3497,323,1533,418,0,2274,2274,
31,Fayette,Willowbend,2007,179,870,228,0,1277,1277,
32,Fayette,Camp Creek,1895,184,831,255,2,1272,1272,
33,Fayette,Rising Star,3833,417,1964,479,2,2862,2862,
34,Fayette,Spring Hill,3299,192,1128,422,1,1743,1743,
35,Fayette,Antioch,1956,319,617,262,1,1199,1199,
