index,County,Precinct,Registered Voters,Valencia M. Seay (I) (Dem)_Election Day Votes,Valencia M. Seay (I) (Dem)_Advanced Voting Votes,Valencia M. Seay (I) (Dem)_Absentee by Mail Votes,Valencia M. Seay (I) (Dem)_Provisional Votes,Valencia M. Seay (I) (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,192,923,510,6,1631,1631,
1,Fayette,Europe,3310,214,1275,794,15,2298,2298,
2,Fayette,Fayetteville East,2147,141,635,324,3,1103,1103,
3,Fayette,Fayetteville West,2362,150,712,369,1,1232,1232,
4,Fayette,Flint,1732,139,558,260,0,957,957,
5,Fayette,Hopeful,2309,210,672,392,1,1275,1275,
6,Fayette,Morning Creek,3059,193,924,572,1,1690,1690,
7,Fayette,Sandy Creek,4848,236,1782,624,5,2647,2647,
8,Fayette,Kenwood,1014,112,345,227,2,686,686,
9,Fayette,Banks,1624,155,398,282,0,835,835,
10,Fayette,Oak Ridge,2225,167,602,448,6,1223,1223,
11,Fayette,Jeff Davis,2876,167,894,444,5,1510,1510,
