index,County,Precinct,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total,
0,Fayette,Europe,3310,46,164,79,2,291,199,1227,781,13,2220,2511,
1,Fayette,Hopeful,2309,145,357,99,0,601,158,560,365,1,1084,1685,
2,Fayette,Morning Creek,3059,109,494,278,0,881,154,770,520,0,1444,2325,
3,Fayette,Sandy Creek,4848,38,353,88,1,480,42,336,167,0,545,1025,
4,Fayette,Kenwood,1014,47,65,41,0,153,92,323,213,2,630,783,
5,Fayette,Banks,1624,118,261,162,0,541,112,313,230,0,655,1196,
6,Fayette,Dogwood,3092,71,358,93,0,522,46,200,141,0,387,909,
7,Fayette,Oak Ridge,2225,121,316,168,1,606,133,519,411,6,1069,1675,
