index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Fayette,Blackrock,2699,174,884,523,6,1587,41,224,114,2,381,1968,
1,Fayette,Brooks,2567,445,838,382,2,1667,112,214,53,0,379,2046,
2,Fayette,Europe,3310,194,1082,696,11,1983,52,292,127,5,476,2459,
3,Fayette,Fayetteville East,2147,135,650,347,4,1136,43,166,80,2,291,1427,
4,Fayette,Fayetteville West,2362,156,784,383,1,1324,51,192,75,0,318,1642,
5,Fayette,Flint,1732,178,551,281,0,1010,39,154,58,0,251,1261,
6,Fayette,Hopeful,2309,225,698,378,1,1302,71,186,67,0,324,1626,
7,Fayette,Morning Creek,3059,186,1031,649,1,1867,71,216,118,0,405,2272,
8,Fayette,Rareover,3045,166,1342,312,2,1822,33,325,56,1,415,2237,
9,Fayette,Sandy Creek,4848,247,1848,674,4,2773,61,499,108,2,670,3443,
10,Fayette,Shakerag East,1689,213,581,236,2,1032,42,118,20,0,180,1212,
11,Fayette,Shakerag West,1236,57,553,227,2,839,15,120,30,0,165,1004,
12,Fayette,Starrsmill,3572,388,1128,542,0,2058,78,238,53,0,369,2427,
13,Fayette,Whitewater,3564,309,1464,603,10,2386,66,277,72,1,416,2802,
14,Fayette,Woolsey,2542,305,917,461,0,1683,64,174,70,0,308,1991,
15,Fayette,McIntosh,3323,214,1380,564,2,2160,44,253,65,0,362,2522,
16,Fayette,Oak Grove,1344,142,541,180,1,864,39,82,24,0,145,1009,
17,Fayette,Kedron,4862,400,1877,732,2,3011,95,342,114,0,551,3562,
18,Fayette,Aberdeen,1805,150,713,246,0,1109,26,140,40,0,206,1315,
19,Fayette,Windgate,1011,133,398,138,1,670,19,77,11,1,108,778,
20,Fayette,Flat Creek,2117,214,681,320,2,1217,41,142,42,1,226,1443,
21,Fayette,Braelinn,1876,177,777,277,1,1232,35,148,39,0,222,1454,
22,Fayette,Kenwood,1014,116,304,199,1,620,24,72,46,1,143,763,
23,Fayette,Banks,1624,188,427,330,0,945,36,132,49,0,217,1162,
24,Fayette,Harps Crossing,1646,167,567,279,1,1014,33,140,44,1,218,1232,
25,Fayette,Willow Pond,3100,262,1051,549,4,1866,61,257,91,3,412,2278,
26,Fayette,Dogwood,3092,260,1190,498,2,1950,45,296,96,1,438,2388,
27,Fayette,Oak Ridge,2225,202,657,472,3,1334,44,165,87,3,299,1633,
28,Fayette,Jeff Davis,2876,140,914,467,6,1527,50,213,97,2,362,1889,
29,Fayette,Murphy,3224,203,1153,611,2,1969,57,274,127,2,460,2429,
30,Fayette,Fielding Ridge,3497,302,1480,535,0,2317,53,270,60,0,383,2700,
31,Fayette,Willowbend,2007,161,801,282,0,1244,36,152,25,0,213,1457,
32,Fayette,Camp Creek,1895,156,765,286,1,1208,36,151,42,1,230,1438,
33,Fayette,Rising Star,3833,364,1805,558,3,2730,77,381,91,0,549,3279,
34,Fayette,Spring Hill,3299,182,1214,597,1,1994,40,290,110,0,440,2434,
35,Fayette,Antioch,1956,286,578,302,1,1167,63,148,59,0,270,1437,
