index,County,Precinct,Registered Voters,Scott A. Hollowell (I) (Rep)_Election Day Votes,Scott A. Hollowell (I) (Rep)_Advanced Voting Votes,Scott A. Hollowell (I) (Rep)_Absentee by Mail Votes,Scott A. Hollowell (I) (Rep)_Provisional Votes,Scott A. Hollowell (I) (Rep)_Choice Total,Total,
0,Fayette,Shakerag West,1236,63,567,173,1,804,804,
1,Fayette,Whitewater,3564,147,585,199,0,931,931,
2,Fayette,Oak Grove,1344,152,549,143,1,845,845,
3,Fayette,Kedron,4862,435,1831,601,2,2869,2869,
4,Fayette,Aberdeen,1805,160,757,212,0,1129,1129,
5,Fayette,Windgate,1011,141,415,105,2,663,663,
6,Fayette,Flat Creek,2117,230,697,267,3,1197,1197,
7,Fayette,Braelinn,1876,206,870,264,1,1341,1341,
8,Fayette,Fielding Ridge,3497,321,1538,420,0,2279,2279,
9,Fayette,Willowbend,2007,178,852,230,0,1260,1260,
10,Fayette,Camp Creek,1895,183,826,246,2,1257,1257,
