index,County,Precinct,Registered Voters,Karen Mathiak (I) (Rep)_Election Day Votes,Karen Mathiak (I) (Rep)_Advanced Voting Votes,Karen Mathiak (I) (Rep)_Absentee by Mail Votes,Karen Mathiak (I) (Rep)_Provisional Votes,Karen Mathiak (I) (Rep)_Choice Total,William Harris (Dem)_Election Day Votes,William Harris (Dem)_Advanced Voting Votes,William Harris (Dem)_Absentee by Mail Votes,William Harris (Dem)_Provisional Votes,William Harris (Dem)_Choice Total,Total,
0,Fayette,Woolsey,2542,328,941,364,0,1633,43,174,186,0,403,2036,
1,Fayette,Harps Crossing,1646,151,492,200,2,845,54,226,142,1,423,1268,
2,Fayette,Murphy,3224,161,761,343,2,1267,107,695,409,1,1212,2479,
3,Fayette,Antioch,1956,253,460,180,1,894,102,274,191,0,567,1461,
