index,County,Precinct,Registered Voters,Eric K. Maxwell (I) (Rep)_Election Day Votes,Eric K. Maxwell (I) (Rep)_Advanced Voting Votes,Eric K. Maxwell (I) (Rep)_Absentee by Mail Votes,Eric K. Maxwell (I) (Rep)_Provisional Votes,Eric K. Maxwell (I) (Rep)_Choice Total,Vickie Butler (Dem)_Election Day Votes,Vickie Butler (Dem)_Advanced Voting Votes,Vickie Butler (Dem)_Absentee by Mail Votes,Vickie Butler (Dem)_Provisional Votes,Vickie Butler (Dem)_Choice Total,Total,
0,Fayette,Fayetteville West,2362,93,346,127,0,566,72,414,233,1,720,1286,
1,Fayette,Morning Creek,3059,14,76,65,0,155,5,42,44,0,91,246,
2,Fayette,Rareover,3045,149,1217,216,3,1585,53,505,156,0,714,2299,
3,Fayette,Sandy Creek,4848,70,528,131,1,730,51,354,154,0,559,1289,
4,Fayette,Shakerag East,1689,187,487,138,2,814,66,226,129,0,421,1235,
5,Fayette,Whitewater,3564,81,438,129,1,649,17,103,80,1,201,850,
6,Fayette,McIntosh,3323,204,1178,336,2,1720,56,479,306,0,841,2561,
7,Fayette,Willow Pond,3100,216,757,253,7,1233,108,575,390,2,1075,2308,
8,Fayette,Dogwood,3092,228,1030,322,3,1583,83,527,277,0,887,2470,
9,Fayette,Spring Hill,3299,126,745,267,0,1138,97,783,453,1,1334,2472,
