index,County,Precinct,Registered Voters,John Jessup (I) (Rep)_Election Day Votes,John Jessup (I) (Rep)_Advanced Voting Votes,John Jessup (I) (Rep)_Absentee by Mail Votes,John Jessup (I) (Rep)_Provisional Votes,John Jessup (I) (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,385,944,281,2,1612,1612,
1,Walton,Between,4925,79,409,138,0,626,626,
2,Walton,Loganville North,5225,443,1307,473,1,2224,2224,
3,Walton,Bay Creek,3401,328,1198,324,0,1850,1850,
