index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Walton,Bold Springs,4653,670,1757,539,2,2968,98,285,244,0,627,35,39,22,0,96,3691,
1,Walton,Whatley,1254,239,498,132,0,869,20,48,47,0,115,7,5,2,0,14,998,
2,Walton,Walker Park,3858,497,1400,390,0,2287,82,192,168,0,442,36,45,19,0,100,2829,
3,Walton,Gratis,1243,320,429,128,0,877,20,38,55,0,113,9,7,8,0,24,1014,
4,Walton,Between,4925,525,2078,484,1,3088,93,331,241,0,665,33,64,29,0,126,3879,
5,Walton,Walnut Grove,2661,475,904,198,0,1577,34,129,93,0,256,26,27,19,0,72,1905,
6,Walton,Loganville North,5225,481,1526,464,3,2474,133,480,288,1,902,34,80,40,0,154,3530,
7,Walton,Social Circle,4604,698,1266,317,1,2282,193,365,306,1,865,44,41,17,2,104,3251,
8,Walton,South Monroe,3910,257,1156,312,0,1725,99,385,205,0,689,15,65,22,0,102,2516,
9,Walton,North Monroe,4818,283,748,230,1,1262,273,650,489,3,1415,32,64,22,0,118,2795,
10,Walton,Loganville South,3768,316,1075,381,0,1772,146,358,233,0,737,30,52,25,0,107,2616,
11,Walton,West Walton,4219,548,1546,429,0,2523,85,339,201,0,625,22,61,20,0,103,3251,
12,Walton,Broken Arrow,4380,561,1608,393,0,2562,48,269,205,0,522,40,59,21,0,120,3204,
13,Walton,Bay Creek,3401,336,1358,341,1,2036,50,220,163,0,433,21,61,18,0,100,2569,
14,Walton,E Monroe,4119,324,793,208,1,1326,195,426,233,4,858,36,47,21,0,104,2288,
15,Walton,W Monroe,2027,236,831,206,0,1273,38,147,94,0,279,13,21,2,0,36,1588,
16,Walton,Tara,4050,268,1040,295,1,1604,153,780,350,1,1284,24,59,14,1,98,2986,
17,Walton,Mountain,1657,266,580,160,0,1006,38,75,50,0,163,14,12,4,0,30,1199,
18,Walton,Jersey,1970,642,583,162,1,1388,28,53,51,0,132,25,19,3,0,47,1567,
19,Walton,Blasingame,1115,391,303,96,0,790,27,35,32,1,95,9,8,4,0,21,906,
20,Walton,Good Hope,2149,602,627,157,0,1386,44,92,68,0,204,33,15,9,0,57,1647,
