Precinct,County,Registered Voters,Jeff Mullis (I) (Rep)_Election Day Votes,Jeff Mullis (I) (Rep)_Advanced Voting Votes,Jeff Mullis (I) (Rep)_Absentee by Mail Votes,Jeff Mullis (I) (Rep)_Provisional Votes,Jeff Mullis (I) (Rep)_Choice Total,Total,
Dirtseller,Chattooga,186,47,63,10,0,120,120,
Haywood,Chattooga,169,78,24,4,1,107,107,
Trion,Chattooga,3496,611,1214,315,0,2140,2140,
Summerville,Chattooga,5155,615,1828,528,0,2971,2971,
Teloga,Chattooga,593,92,243,77,0,412,412,
Dirttown,Chattooga,897,260,272,76,0,608,608,
Subligna,Chattooga,489,169,126,57,1,353,353,
Alpine,Chattooga,872,272,236,79,0,587,587,
Cloudland,Chattooga,378,82,119,43,0,244,244,
Pennville,Chattooga,588,75,204,42,0,321,321,
