Precinct,County,Registered Voters,Robert Greg Hurley (I)_Election Day Votes,Robert Greg Hurley (I)_Advanced Voting Votes,Robert Greg Hurley (I)_Absentee by Mail Votes,Robert Greg Hurley (I)_Provisional Votes,Robert Greg Hurley (I)_Choice Total,Total,
Coldwater,Chattooga,248,30,89,30,0,149,149,
Dirtseller,Chattooga,186,47,62,9,0,118,118,
Haywood,Chattooga,169,73,18,6,1,98,98,
Lyerly,Chattooga,934,231,278,74,2,585,585,
Trion,Chattooga,3496,573,1160,332,1,2066,2066,
Summerville,Chattooga,5155,601,1806,560,0,2967,2967,
Teloga,Chattooga,593,79,230,77,0,386,386,
Dirttown,Chattooga,897,247,245,85,0,577,577,
Seminole,Chattooga,138,37,44,19,0,100,100,
Subligna,Chattooga,489,147,110,51,1,309,309,
Alpine,Chattooga,872,261,229,88,0,578,578,
Cloudland,Chattooga,378,84,122,42,0,248,248,
Pennville,Chattooga,588,74,194,50,0,318,318,
