Precinct,County,Registered Voters,Chris A. Arnt (Rep)_Election Day Votes,Chris A. Arnt (Rep)_Advanced Voting Votes,Chris A. Arnt (Rep)_Absentee by Mail Votes,Chris A. Arnt (Rep)_Provisional Votes,Chris A. Arnt (Rep)_Choice Total,Total,
Coldwater,Chattooga,248,30,85,26,0,141,141,
Dirtseller,Chattooga,186,47,59,9,0,115,115,
Haywood,Chattooga,169,78,23,6,1,108,108,
Lyerly,Chattooga,934,232,286,70,2,590,590,
Trion,Chattooga,3496,611,1221,325,1,2158,2158,
Summerville,Chattooga,5155,626,1827,515,1,2969,2969,
Teloga,Chattooga,593,88,246,77,0,411,411,
Dirttown,Chattooga,897,254,269,77,0,600,600,
Seminole,Chattooga,138,37,45,17,0,99,99,
Subligna,Chattooga,489,171,127,56,1,355,355,
Alpine,Chattooga,872,268,237,81,0,586,586,
Cloudland,Chattooga,378,89,121,39,0,249,249,
Pennville,Chattooga,588,76,208,41,0,325,325,
