Precinct,County,Registered Voters,Roy Gene Thompson (I) (Rep)_Election Day Votes,Roy Gene Thompson (I) (Rep)_Advanced Voting Votes,Roy Gene Thompson (I) (Rep)_Absentee by Mail Votes,Roy Gene Thompson (I) (Rep)_Provisional Votes,Roy Gene Thompson (I) (Rep)_Choice Total,Total,
Lockhart,Bulloch,720,256,130,55,1,442,442,
Emit,Bulloch,3360,628,1025,350,1,2004,2004,
Statesboro,Bulloch,6312,621,1662,667,10,2960,2960,
Portal,Bulloch,1735,476,324,161,0,961,961,
Fair,Bulloch,6335,661,2140,676,7,3484,3484,
Church,Bulloch,5793,592,1440,665,5,2702,2702,
Pittman Park,Bulloch,5279,606,1110,325,2,2043,2043,
Leefield,Bulloch,1000,373,221,81,1,676,676,
Blitch,Bulloch,1947,477,594,211,1,1283,1283,
Hagin,Bulloch,2403,511,561,243,4,1319,1319,
Brooklet,Bulloch,3351,739,1081,319,2,2141,2141,
Stilson,Bulloch,2137,630,461,175,1,1267,1267,
Bay,Bulloch,1610,554,378,144,0,1076,1076,
Nevils,Bulloch,1299,394,288,130,1,813,813,
Sinkhole,Bulloch,488,201,69,48,0,318,318,
Register,Bulloch,969,243,175,89,2,509,509,
