Precinct,County,Registered Voters,Leslie Deal Akins (Rep)_Election Day Votes,Leslie Deal Akins (Rep)_Advanced Voting Votes,Leslie Deal Akins (Rep)_Absentee by Mail Votes,Leslie Deal Akins (Rep)_Provisional Votes,Leslie Deal Akins (Rep)_Choice Total,Total,
Lockhart,Bulloch,720,257,133,56,1,447,447,
Emit,Bulloch,3360,644,1042,345,1,2032,2032,
Statesboro,Bulloch,6312,634,1695,662,9,3000,3000,
Portal,Bulloch,1735,477,335,157,0,969,969,
Fair,Bulloch,6335,669,2158,691,7,3525,3525,
Church,Bulloch,5793,606,1454,671,5,2736,2736,
Pittman Park,Bulloch,5279,613,1119,326,2,2060,2060,
Leefield,Bulloch,1000,378,224,80,1,683,683,
Blitch,Bulloch,1947,485,609,212,1,1307,1307,
Hagin,Bulloch,2403,517,569,243,4,1333,1333,
Brooklet,Bulloch,3351,757,1091,321,2,2171,2171,
Stilson,Bulloch,2137,642,467,176,1,1286,1286,
Bay,Bulloch,1610,560,380,146,0,1086,1086,
Nevils,Bulloch,1299,407,291,130,1,829,829,
Sinkhole,Bulloch,488,201,70,48,0,319,319,
Register,Bulloch,969,246,178,85,2,511,511,
