Precinct,County,Registered Voters,Jappy Stringer (I) (Rep)_Election Day Votes,Jappy Stringer (I) (Rep)_Advanced Voting Votes,Jappy Stringer (I) (Rep)_Absentee by Mail Votes,Jappy Stringer (I) (Rep)_Provisional Votes,Jappy Stringer (I) (Rep)_Choice Total,Total,
Lockhart,Bulloch,720,182,85,29,1,297,297,
Emit,Bulloch,3360,640,1032,332,1,2005,2005,
Statesboro,Bulloch,6312,271,888,317,1,1477,1477,
Portal,Bulloch,1735,45,60,23,0,128,128,
Fair,Bulloch,6335,620,2097,664,3,3384,3384,
Church,Bulloch,5793,325,968,392,1,1686,1686,
Pittman Park,Bulloch,5279,453,894,286,0,1633,1633,
Leefield,Bulloch,1000,377,222,82,1,682,682,
Blitch,Bulloch,1947,485,597,212,1,1295,1295,
Hagin,Bulloch,2403,440,488,196,2,1126,1126,
Brooklet,Bulloch,3351,748,1088,316,2,2154,2154,
Stilson,Bulloch,2137,631,462,177,1,1271,1271,
Bay,Bulloch,1610,559,377,140,0,1076,1076,
Nevils,Bulloch,1299,401,287,127,1,816,816,
Sinkhole,Bulloch,488,200,69,48,0,317,317,
Register,Bulloch,969,154,81,44,0,279,279,
