Precinct,County,Registered Voters,Atha M. Lucas (I) (Rep)_Election Day Votes,Atha M. Lucas (I) (Rep)_Advanced Voting Votes,Atha M. Lucas (I) (Rep)_Absentee by Mail Votes,Atha M. Lucas (I) (Rep)_Provisional Votes,Atha M. Lucas (I) (Rep)_Choice Total,Total,
100,Ware,4740,241,836,697,5,1779,1779,
200A,Ware,2730,248,921,222,5,1396,1396,
200B,Ware,976,65,209,108,3,385,385,
300,Ware,4061,431,1583,428,7,2449,2449,
304,Ware,1269,197,443,85,1,726,726,
400,Ware,3538,417,1565,379,6,2367,2367,
404,Ware,373,157,71,37,1,266,266,
405,Ware,636,207,195,50,1,453,453,
406,Ware,1659,307,698,129,1,1135,1135,
407,Ware,505,206,114,29,0,349,349,
408,Ware,523,209,123,25,0,357,357,
409,Ware,984,228,360,78,0,666,666,
