Precinct,County,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
100,Ware,4740,2,2,1,0,5,4,5,7,0,16,33,123,79,0,235,2,3,3,0,8,1,23,4,0,28,1,6,2,0,9,4,16,8,0,28,70,247,141,1,459,32,108,51,0,191,4,5,3,0,12,24,94,68,1,187,14,45,25,0,84,23,74,35,0,132,11,30,14,0,55,3,1,0,0,4,2,7,1,0,10,0,9,7,0,16,7,14,3,0,24,67,336,471,4,878,2,13,12,0,27,2408,
200A,Ware,2730,1,3,2,0,6,1,5,1,0,7,86,386,88,2,562,0,3,2,0,5,3,14,3,0,20,2,2,0,0,4,6,13,4,1,24,14,74,22,1,111,13,23,10,1,47,3,9,2,0,14,10,23,12,0,45,6,40,9,0,55,70,278,56,0,404,4,7,5,0,16,8,7,1,0,16,1,1,0,0,2,1,7,5,0,13,10,16,3,0,29,34,130,71,6,241,0,6,2,0,8,1629,
200B,Ware,976,1,1,1,0,3,1,1,1,0,3,17,61,17,3,98,1,1,0,0,2,1,4,4,0,9,2,2,0,0,4,1,2,1,0,4,11,38,22,0,71,2,20,8,0,30,1,1,1,0,3,7,13,8,0,28,5,17,3,0,25,13,32,19,0,64,1,5,2,0,8,0,0,0,0,0,1,2,0,0,3,0,2,0,0,2,1,6,0,0,7,7,45,56,0,108,0,1,1,0,2,474,
300,Ware,4061,4,4,1,0,9,1,7,3,0,11,169,753,175,3,1100,0,1,1,0,2,16,35,8,1,60,2,4,3,0,9,4,20,8,0,32,21,80,36,3,140,15,24,16,0,55,11,25,6,0,42,6,28,12,1,47,15,28,12,0,55,129,457,103,0,689,3,12,5,1,21,8,5,2,1,16,0,6,0,0,6,3,4,2,0,9,17,52,9,0,78,33,118,81,2,234,0,9,3,0,12,2627,
304,Ware,1269,2,2,0,0,4,3,1,0,0,4,98,230,40,1,369,0,0,1,0,1,10,14,1,0,25,1,0,1,0,2,5,3,2,0,10,6,13,7,0,26,1,5,3,0,9,5,8,0,0,13,0,5,3,0,8,1,6,5,0,12,53,125,22,0,200,1,1,0,0,2,3,0,0,0,3,1,2,0,0,3,0,2,0,0,2,9,17,1,0,27,3,20,19,0,42,2,1,1,0,4,766,
400,Ware,3538,2,7,2,0,11,2,7,3,0,12,216,829,155,3,1203,0,4,1,0,5,10,33,8,1,52,0,5,1,0,6,4,13,3,0,20,4,41,17,1,63,5,9,3,1,18,9,17,3,0,29,1,10,6,0,17,4,27,17,0,48,144,498,139,0,781,1,4,3,0,8,7,7,2,0,16,0,0,0,0,0,1,0,3,0,4,13,40,5,0,58,15,79,65,1,160,0,3,2,0,5,2516,
404,Ware,373,0,0,0,0,0,1,0,2,0,3,94,37,20,0,151,0,1,0,0,1,7,3,0,0,10,0,0,0,0,0,3,1,0,0,4,2,0,3,0,5,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,2,1,0,3,42,23,11,1,77,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,2,0,0,8,2,1,9,0,12,0,0,0,0,0,281,
405,Ware,636,0,0,0,0,0,0,1,0,0,1,124,117,25,0,266,1,0,0,0,1,6,5,1,0,12,0,0,0,0,0,2,3,0,0,5,1,6,3,0,10,0,0,0,0,0,3,3,1,0,7,2,1,0,0,3,3,0,2,0,5,61,55,18,1,135,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,0,0,1,4,8,3,0,15,0,0,4,0,4,0,0,0,0,0,469,
406,Ware,1659,1,0,1,0,2,2,0,0,1,3,160,359,60,0,579,1,2,0,0,3,6,19,3,0,28,3,1,0,0,4,3,10,0,0,13,7,10,12,0,29,0,4,2,0,6,10,10,1,0,21,2,4,0,0,6,5,11,4,0,20,89,223,49,0,361,1,1,0,0,2,4,3,0,0,7,1,0,0,0,1,0,1,0,0,1,12,22,1,0,35,5,23,7,0,35,0,3,0,0,3,1159,
407,Ware,505,1,0,1,0,2,0,0,0,0,0,104,57,13,0,174,0,0,0,0,0,3,3,2,0,8,0,0,0,0,0,3,2,0,0,5,2,1,0,0,3,0,0,0,0,0,3,2,0,0,5,1,0,1,0,2,1,1,1,0,3,82,46,11,0,139,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,2,0,0,6,2,4,0,0,6,0,0,1,0,1,357,
408,Ware,523,1,0,0,0,1,0,0,1,0,1,128,73,13,0,214,1,0,0,0,1,8,4,0,0,12,0,0,0,0,0,1,0,1,0,2,1,0,1,0,2,1,0,0,0,1,5,3,0,0,8,1,0,0,0,1,1,1,2,0,4,60,37,6,0,103,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,4,2,5,2,0,9,0,1,0,0,1,366,
409,Ware,984,0,1,0,0,1,1,1,1,0,3,115,202,37,0,354,0,0,0,0,0,7,9,1,0,17,0,0,1,0,1,5,4,2,0,11,1,5,4,0,10,3,1,1,0,5,3,7,1,0,11,1,3,0,0,4,4,2,1,0,7,74,110,26,0,210,0,0,1,0,1,3,3,0,0,6,0,1,0,0,1,1,2,0,0,3,8,19,4,0,31,4,8,7,0,19,0,0,1,0,1,696,
